zips/2024061333/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Report.PDF:(Opuntia basilaris var.
zips/2024061333/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Report.PDF:(Eremothera boothii ssp.
zips/2024061333/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Report.PDF:(Canbya candida)
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:biologist conducted a focused search for Congdon’s tarplant (Centromadia parryi ssp. congdonii) to
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:contained one federally protected plant species, Contra Costa goldfields (Lasthenia conjugens). The
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:One of the 24 species with no potential to occur—Congdon’s tarplant (Centromadia parryi ssp.
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:One special-status plant species—slender-leaved pondweed (Stuckenia filiformis subsp. Alpina)—
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Wiebush, Molly S. 2021. California Native Plant Society Species Account: Stuckenia filiformis ssp.
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Amsinckia lunaris
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Arctostaphylos auriculata
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Arctostaphylos manzanita
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Blepharizonia plumosa
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Calochortus pulchellus
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Centromadia parryi ssp.
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Delphinium californicum
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Eriastrum ertterae
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Eriogonum truncatum
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Eryngium jepsonii
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Extriplex joaquinana
