zips/2024070545/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/T-6352 ISMND MMRP FINAL.PDF:Caulanthus californicus
zips/2024070545/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/T-6352 ISMND MMRP FINAL.PDF:Imperata brevifolia
zips/2024070545/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/T-6352 ISMND MMRP FINAL.PDF:Leptosiphon serrulatus
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:coast live oak (Quercus a<g,folia) and Monterey pine (Pinus radiata) trees. The proposed residence is
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:steep northwest slopes are dominated by naturalized Monterey pine (Pinus radiata) and non-native
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Malacothamnus arcuatus)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Eriogonum nudum var. decurrens)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Chorizanthe pungens var. hartwegiana)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Amsinckia lunaris)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Balsamorhiza macrolepis)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Arctostaphylos silvicola)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Carex comosa)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Puccinellia simplex)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Senecio aphanactis)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Plagiobothrys chorisianus var.
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Arctostaphylos andersonii)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Arctostaphylos hookeri ssp. hookeri)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Eryngium aristulatum var. hooveri)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Ceanothus ferrisiae)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Centromadia parryi spp. congdonii)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Rosa pinetorum)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Castilleja rubicundula ssp. rubicundula)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Chorizanthe robusta var. robusta)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Trifolium hydrophilum)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Arctostaphylos pajaroensis)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Cirsium fontinale var. campylon)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Chorizanthe pungens var. pungens)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Microseris paludosa)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Erysimum ammophilum)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Dudleya abramsii ssp. setchellil)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Trifolium buckwestiorum)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Stebbinsoseris decipiens)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Calyptridium parryivar. hesseae)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Holocarpha macradenia)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Erysimum teretifolium)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Arctostaphylos glutinosa)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Cordylanthus rigidus ssp. littoralis)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Collinsia multicolor)
zips/2024070529/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carpenteria Rd Minor Subdiv_Public Review Draft IS_SIGNED.PDF:(Pentachaeta bellidiflora)
