zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Tuctoria greenei)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Orcuttia pilosa)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Layia munzii)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Imperata brevifolia)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Downingia pusilla)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Tuctoria greenei)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Orcuttia pilosa)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Calycadenia hooveri)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Layia munzii)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Navarretia myersii
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Orcuttia inaequalis)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Sagittaria sanfordii)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Castilleja campestris
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Caulanthus californicus)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Orcuttia inaequalis)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Castilleja campestris var.
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Caulanthus californicus
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Imperata brevifolia
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Downingia pusilla
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Tuctoria greenei
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Orcuttia pilosa
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Pseudobahia bahiifolia
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Calycadenia hooveri
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Leptosiphon serrulatus
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Layia munzii
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Navarretia myersii ssp. myersii
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Orcuttia inaequalis
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Sagittaria sanfordii
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Eryngium spinosepalum
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Castilleja campestris var. succulenta
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Fleshy Owl's-clover Castilleja campestris ssp. succulenta
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:San Joaquin Valley Orcutt Grass Orcuttia inaequalis
zips/2024070986/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bella Vista Drive Project_Draft Initial Study Checklist_July2024.PDF:2024a). A single sensitive plant species, wart-stemmed ceanothus (Ceanothus verrucosus) was
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Tuctoria greenei)
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Orcuttia pilosa)
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Layia munzii)
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Imperata brevifolia)
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Downingia pusilla)
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Tuctoria greenei)
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Orcuttia pilosa)
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Calycadenia hooveri)
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Layia munzii)
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Navarretia myersii
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Orcuttia inaequalis)
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Sagittaria sanfordii)
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Castilleja campestris
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Caulanthus californicus)
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Orcuttia inaequalis)
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:(Castilleja campestris var.
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Caulanthus californicus
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Imperata brevifolia
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Downingia pusilla
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Tuctoria greenei
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Orcuttia pilosa
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Pseudobahia bahiifolia
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Calycadenia hooveri
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Leptosiphon serrulatus
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Layia munzii
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Navarretia myersii ssp. myersii
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Orcuttia inaequalis
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Sagittaria sanfordii
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Eryngium spinosepalum
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Castilleja campestris var. succulenta
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Fleshy Owl's-clover Castilleja campestris ssp. succulenta
zips/2024070976/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:San Joaquin Valley Orcutt Grass Orcuttia inaequalis
