zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Alopecurus aequalis
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Arctostaphylos bakeri
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Campanula californica
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Carex comosa
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Castilleja uliginosa
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Ceanothus confusus
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Ceanothus foliosus var.
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Ceanothus purpureus
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Chorizanthe valida
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Clarkia imbricata
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Cordylanthus tenuis
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Cuscuta obtusiflora var.
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Delphinium luteum
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Erigeron greenei
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Erigeron serpentinus
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Fritillaria liliacea
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Hemizonia congesta
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Horkelia tenuiloba
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Lasthenia californica
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Lessingia arachnoidea
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Lilium pardalinum ssp.
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Limnanthes vinculans
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Rhynchospora alba
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Trifolium amoenum
zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Trifolium hydrophilum
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Amsinckia lunaris
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Astragalus tener var. tener
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Balsamorhiza macrolepis
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Calochortus umbellatus
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Castilleja ambigua var.
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Centromadia parryi ssp.
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Chloropyron maritimum ssp.
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Chorizanthe robusta var.
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Eryngium aristulatum var.
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Eryngium jepsonii
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Extriplex joaquinana
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Fritillaria liliacea
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Gilia millefoliata
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Helianthella castanea
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Hoita strobilina
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Holocarpha macradenia
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Horkelia cuneata var. sericea
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Lasthenia conjugens
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Leptosiphon grandiflorus
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Monolopia gracilens
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Plagiobothrys glaber
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Polygonum marinense
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Ranunculus lobbii
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Sanicula maritima
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Senecio aphanactis
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Spergularia macrotheca var.
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Stuckenia filiformis ssp. alpina
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Suaeda californica
zips/2024071067/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hayward_WPCF_ISMND-Public Draft_combined.PDF:Trifolium hydrophilum
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:lynchi), FT; Munz’s onion (Allium munzii), FE; San Diego ambrosia (Ambrosia pumila),
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:FE;, slender-horned spineflower (Dodecahema leptoceras), FE; spreading navarretia
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:(Navarretia fossalis), FT; thread-leaved brodiaea (Brodiaea filifolia), FT; and monarch
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:(Bombus crotchii), state candidate endangered (SCE); Munz’s onion (Allium munzii) ST;
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:slender-horned spineflower (Dodecahema leptoceras) SE; and thread-leaved brodiaea
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:(Brodiaea filifolia) SE.
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Munz's Onion Allium munzii
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:San Diego Ambrosia Ambrosia pumila
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:San Diego Button-celery Eryngium aristulatum var. parishii
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Slender-horned Spineflower Dodecahema leptoceras
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Spreading Navarretia Navarretia fossalis
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Thread-leaved Brodiaea Brodiaea filifolia
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Abronia villosa var. aurita
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Allium marvinii
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Allium munzii
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Ambrosia pumila
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Calochortus weedii var. intermedius
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Centromadia pungens ssp. laevis
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Chorizanthe parryi var. parryi
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Chorizanthe polygonoides var. longispina
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Clinopodium chandleri
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Dodecahema leptoceras
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Dudleya multicaulis
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Dudleya viscida
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Harpagonella palmeri
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Horkelia cuneata var. puberula
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Lepechinia cardiophylla
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Lepidium virginicum var. robinsonii
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Monardella hypoleuca ssp. intermedia
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Monardella macrantha ssp. hallii
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Pseudognaphalium leucocephalum
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Symphyotrichum defoliatum
