zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Coast Highway Solar ISMND (7-30-24) sans appendices.PDF:(Clarkia amoena), California poppy (Eschscholzia californica), riverbank lupine (Lupinus rivularis),
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Coast Highway Solar ISMND (7-30-24) sans appendices.PDF:plant species including coast fawn lily (Erythronium revolutum), western lily (Lilium occidentale),
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Coast Highway Solar ISMND (7-30-24) sans appendices.PDF:seacoast ragwort (Packera bolanderi var. bolanderi), Oregon polemonium (Polemonium carneum),
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Coast Highway Solar ISMND (7-30-24) sans appendices.PDF:maple-leaved checkerbloom (Sidalcea malachroides), Siskiyou checkerbloom (Sidalcea malviflora
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Coast Highway Solar ISMND (7-30-24) sans appendices.PDF:ssp. Patula), and coast checkerbloom (Sidalcea oregana ssp. Eximia) were determined to have a low
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Coast Highway Solar ISMND (7-30-24) sans appendices.PDF:potential options include yarrow (Achillea millefolium), farewell to spring (Clarkia amoena), California
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Coast Highway Solar ISMND (7-30-24) sans appendices.PDF:potential options include yarrow (Achillea millefolium), farewell to spring (Clarkia amoena), California
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Abronia umbellata var.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Cardamine angulata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Carex arcta
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Carex leptalea
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Carex lyngbyei
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Castilleja ambigua var.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Castilleja litoralis
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Chloropyron maritimum ssp.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Clarkia amoena ssp. whitneyi
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Coptis laciniata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Erysimum menziesii
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Erythronium oregonum
