zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Calochortus striatus)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Lasthenia chrysantha)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Atriplex depressa)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Puccinellia simplex)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Atriplex cordulata var.
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Eremalche parryi ssp.
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Atriplex minuscula)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Atriplex coronata var.
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Monolopia congdonii)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Atriplex subtilis)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Atriplex persistens)
