zips/2024080232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Signed Modjeska Grade Road_Public Review Draft ISMND_7.PDF:species, southern California black walnut (Juglans californica) and intermediate mariposa lily
zips/2024080232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Signed Modjeska Grade Road_Public Review Draft ISMND_7.PDF:(Calochortus weedii var. intermedius), were observed within the survey area during Michael
zips/2024080232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Signed Modjeska Grade Road_Public Review Draft ISMND_7.PDF:for the Project site to support Braunton’s milk-vetch (Astragalus brautonii), Catalina mariposalily (Calochortus catalinae), Robinson’s pepper-grass (Lepidium virginicum var. robinsonii),
zips/2024080232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Signed Modjeska Grade Road_Public Review Draft ISMND_7.PDF:intermediate monardella (Monardella hypoleuca ssp. intermedia), chaparral nolina (Nolina
zips/2024080232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Signed Modjeska Grade Road_Public Review Draft ISMND_7.PDF:cismontana), Hubby’s phacelia (Phacelia hubbyi), Coulter’s matilijia poppy (Romneya coulteri),
zips/2024080232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Signed Modjeska Grade Road_Public Review Draft ISMND_7.PDF:holly (Comarostaphylis diversifolia ssp. diversifolia) and many-stemmed dudleya (Dudleya
zips/2024080232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Signed Modjeska Grade Road_Public Review Draft ISMND_7.PDF:Chaparral nolina (Nolina cismontana)
zips/2024080232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Signed Modjeska Grade Road_Public Review Draft ISMND_7.PDF:Hubby’s phacelia (Phacelia hubbyi)
zips/2024080232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Signed Modjeska Grade Road_Public Review Draft ISMND_7.PDF:Coulter’s matilijia poppy (Romneya coulteri)
zips/2024080232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Signed Modjeska Grade Road_Public Review Draft ISMND_7.PDF:Summer holly (Comarostaphylis diversifolia
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Agrostis hendersonii
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Allium peninsulare var. Cismontane
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Astragalus claranus
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Astragalus tener var.
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Blennosperma bakeri
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Brodiaea leptandra
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Castilleja ambigua var. Low saline areas
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Ceanothus purpureus Chaparral,
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Downingia pusilla
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Erigeron greenei
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Eryngium jepsonii
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Extriplex joaquinana
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Hesperolinon breweri
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Hemizonia congesta
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Horkelia tenuiloba
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Lasthenia conjugens
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Layia septentrionalis
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Leptosiphon jepsonii
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Limnanthes vinculans
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Micropus amphibolus Cismontane
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Penstemon newberryi Chaparral (rocky) No
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Ranunculus lobbii
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Sidalcea keckii
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Trichostema ruygtii
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Trifolium amoenum
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Trifolium hydrophilum
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Beardtongue (Penstemon newberryi var. sonomensis) is a woody perennial endemic to rocky
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Nemophila parviflora Hook.&Arn. var. parviflora Woodlands
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Phacelia ciliata Benth.
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Chlorogalum pomeridianum (DC.) Kunth var. pomeridianum Woodlands, Grasslands
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Sidalcea keckii
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Contra Costa Goldfields Lasthenia conjugens
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Few-flowered Navarretia Navarretia leucocephala ssp.
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Biological Resources Survey.PDF:Sebastopol Meadowfoam Limnanthes vinculans
zips/2024080231/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study_Acierno P23-00348-ECPA_Aug.PDF:While there are known records of special-status Sonoma beardtongue (Penstemon newberryi var. sonomensis)) in the vicinity of the
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:including, but not limited to, large flowered fiddleneck (Amsinckia grandiflora), big tarplant
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:(Blepharizonia plumosa), and diamond-petaled poppy (Eschscholzia rhombipetala). There are
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Amsinckia grandiflora
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Anomobryum julaceum
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Arctostaphylos auriculata
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Arctostaphylos manzanita ssp.
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Atriplex cordulata var.
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Atriplex coronata var. coronata
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Atriplex minuscula
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Blepharizonia plumosa
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Astragalus tener ssp. tener
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Atriplex depressa
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Calochortus pulchellus
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Centromadia parryi subsp.
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Cordylanthus nidularius
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Cryptantha hooveri
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Delphinium californicum ssp.
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Delphinium recurvatum
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Dirca occidentalis
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Eriogonum truncatum
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Eschscholzia rhombipetala
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Hesperevax caulescens
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Hesperolinon breweri
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Hibiscus lasiocarpos var.
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Lasthenia conjugens
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Madia radiata
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Malacothamnus hallii
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Monolopia gracilens
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Navarretia gowenii
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Navarretia nigelliformis subsp.
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Oenothera deltoides ssp.
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Phacelia phacelioides
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Puccinellia simplex
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Sanicula saxatilis
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Senecio aphanactis
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Spergularia macrotheca var.
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Streptanthus hispidus
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Triquetrella californica
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Tropidocarpum capparideum
zips/2024080229/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Brentwood_SWOD_IS_20240802.PDF:Viburnum ellipticum
zips/2024080227/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-Draft MND_07.PDF:Abronia villosa
zips/2024080227/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-Draft MND_07.PDF:--/-Ditaxis claryana
