zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Miller_P22-00153-ECP.PDF:as the Cobb Mountain Lupine (Lupinus sericatus), might not have been present prior to the fire but their rather long-lived seedbank may
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Miller_P22-00153-ECP.PDF:on-site before plant succession eventually shaded out the original population. Species such as Napa false-indigo (Amorpha californica var.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Miller_P22-00153-ECP.PDF:the 2017 Tubbs Fire, hollyleaf Ceanothus (Ceanothus purpureus) is dominating the landscape where formerly its likely populations were
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit G - Timber Harvesting Plan (THP) .PDF:Arctostaphylos hooveri§
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit G - Timber Harvesting Plan (THP) .PDF:Arctostaphylos manzanita*
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit G - Timber Harvesting Plan (THP) .PDF:Arctostaphylos montereyensis§
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit G - Timber Harvesting Plan (THP) .PDF:Arctostaphylos morroensis§
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit G - Timber Harvesting Plan (THP) .PDF:Arctostaphylos pilosula§
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit G - Timber Harvesting Plan (THP) .PDF:Arctostaphylos pumila§
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit G - Timber Harvesting Plan (THP) .PDF:Arctostaphylos silvicola§
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit G - Timber Harvesting Plan (THP) .PDF:Arctostaphylos viridissima§
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit G - Timber Harvesting Plan (THP) .PDF:Ceanothus thyrsiflorus§
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit G - Timber Harvesting Plan (THP) .PDF:Frangula purshiana*
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit G - Timber Harvesting Plan (THP) .PDF:Quercus parvula var. shrevei
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit G - Timber Harvesting Plan (THP) .PDF:Rosa gymnocarpa*
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Napa false-indigo (Amorpha californica var. napensis): a reference population was visited on
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Hollyleaf ceanothus (Ceanothus purpureus): a reference population was visited on June 10, 2020
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Narrow-leaved brodiaea (Brodiaea leptandra): a reference population was visited on July 15,
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Konocti manzanita (Arctostaphylos manzanita ssp. elegans): a reference population was visited
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Narrow-anthered brodiaea (Brodiaea leptandra) – High Potential to Occur
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Holly-leaved ceanothus (Ceanothus purpureus) – High Potential to Occur
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Jepson’s leptosiphon (Leptosiphon jepsonii) – High Potential to Occur
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Calistoga ceanothus (Ceanothus divergens) – Moderate Potential to Occur
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:(Lupinus sericatus), might not have been present prior to the fire but their rather long-lived seedbank
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:original population. Species such as Napa false-indigo (Amorpha californica var. napensis) readily
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:2017 Tubbs Fire, hollyleaf Ceanothus (Ceanothus purpureus) is dominating the landscape where
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Alopecurus aequalis var.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Amorpha californica var.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Astragalus clevelandii**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Astragalus claranus****
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Balsamorhiza macrolepis
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Astragalus breweri**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Asclepias solanoana**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Astragalus rattanii var.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Arctostaphylos stanfordiana
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Arctostaphylos manzanita
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Anomobryum julaceum
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Allium peninsulare var.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Amsinckia lunaris
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Brodiaea leptandra
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Calamagrostis ophitidis**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Calandrinia breweri**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Calochortus uniflorus**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Ceanothus confusus
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Ceanothus divergens
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Ceanothus gloriosus var.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Castilleja ambigua var.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Calystegia collina ssp.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Calystegia collina ssp.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Blennosperma bakeri
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Ceanothus sonomensis
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Centromadia parryi ssp.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Clarkia breweri**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Clarkia gracilis ssp. tracyi**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Cypripedium montanum**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Delphinium uliginosum**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Downingia pusilla
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Erigeron biolettii**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Erigeron greenei
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Cordylanthus tenuis ssp.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Collomia diversifolia**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Ceanothus purpureus
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Eriogonum umbellatum var.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Eryngium constancei-****
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Eryngium jepsonii
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Harmonia nutans**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Harmonia hallii
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Gratiola heterosepala
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Fritillaria purdyi**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Fritillaria pluriflora
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Fritillaria liliacea
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Eriogonum nervulosum
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Erythronium helenae**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Lasthenia burkei****
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Lilium rubescens--
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Lessingia hololeuca**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Leptosiphon jepsonii
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Lilium bolanderi**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Juncus luciensis
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Layia septentrionalis
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Iris longipetala**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Lasthenia conjugens**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Hesperolinon sharsmithiae
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Hesperolinon bicarpellatum
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Hemizonia congesta ssp.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Lupinus sericatus
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Navarretia heterandra**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Navarretia jepsonii**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Navarretia leucocephala
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Navarretia leucocephala
