zips/2024080629/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLAN22-00011 - Appendix B - Draft  General Biological Resources Assessment.PDF:(Canbya candida)
zips/2024080629/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLAN22-00011 - Appendix B - Draft  General Biological Resources Assessment.PDF:(Diplacus mohavensis)
zips/2024080629/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLAN22-00011 - Appendix B - Draft  General Biological Resources Assessment.PDF:(Eremothera boothii ssp.
zips/2024080629/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLAN22-00011 - Appendix B - Draft  General Biological Resources Assessment.PDF:(Pediomelum castoreum)
zips/2024080629/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLAN22-00011 - Appendix B - Draft  General Biological Resources Assessment.PDF:(Scutellaria bolanderi ssp.
zips/2024080608/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D BRA-JD-CVMSHCP.PDF:Chorizanthe xanti
zips/2024080608/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D BRA-JD-CVMSHCP.PDF:Euphorbia misera
zips/2024080608/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D BRA-JD-CVMSHCP.PDF:Saltugilia latimeri
zips/2024080608/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D BRA-JD-CVMSHCP.PDF:Abronia villosa
zips/2024080608/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D BRA-JD-CVMSHCP.PDF:Aloysia wrightii
zips/2024080608/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D BRA-JD-CVMSHCP.PDF:Galium johnstonii
