zips/2024080951/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C.PDF:Calochortus plummerae
zips/2024080951/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C.PDF:Centromadia parryi ssp. australis
zips/2024080951/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C.PDF:Dudleya multicaulis
zips/2024080951/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C.PDF:Horkelia cuneata var. puberula
zips/2024080951/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C.PDF:Juglans californica
zips/2024080951/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C.PDF:Phacelia stellaris
zips/2024080951/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C.PDF:Pseudognaphalium leucocephalum
zips/2024080951/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C.PDF:Symphyotrichum defoliatum
zips/2024080950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio and MSHCP.PDF:Opuntia basilaris P. Mill.
zips/2024080950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio and MSHCP.PDF:Abronia villosa
zips/2024080950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio and MSHCP.PDF:Atriplex parishii
zips/2024080950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio and MSHCP.PDF:Brodiaea filifolia
