zips/2024090238/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2022-00220_Initial Study_MND.PDF:sycamore (Platanus racemosa), California black walnut (Juglans californica), Oregon
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Angelica lucida
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Glehnia littoralis
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Layia carnosa
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Apiaceae Angelica lucida
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Apiaceae Glehnia littoralis
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Unprocessed Asteraceae Layia carnosa
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Silene scouleri
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Carex arcta
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Carex lyngbyei
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Carex praticola
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Hosackia gracilis harlequin lotus
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Ribes laxiflorum
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Silene scouleri
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Cyperaceae Carex arcta
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Unprocessed Cyperaceae Carex lyngbyei
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Cyperaceae Carex praticola
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Fabaceae Hosackia gracilis
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Ribes laxiflorum
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Montia howellii
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Oenothera wolfii
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Castilleja litoralis Oregon coast
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Gilia capitata
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Gilia millefoliata
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Viola palustris
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Montiaceae Montia howellii
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Onagraceae Oenothera wolfii
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Castilleja litoralis
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Gilia capitata ss
zips/2024090215/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND signed.PDF:Gilia millefoliata
