zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:nearest known occurrence of special-status plant species is three-bracted onion (Allium tribracteatum)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Ericameria arborescens), common manzanita (Arctostaphylos manzanita), and whiteleaf manzanita
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:lettuce (Claytonia parviflora), cudweed (Pseudognaphalium beneolens), dwarf checkerbloom (Sidalcea
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Juncus leiospermus var. ahartii)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Navarretia leucocephala ssp.
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Amsinckia lunaris)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Balsamorhiza macrolepis)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Wolffia brasiliensis)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Carex comosa)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Rhynchospora capitellata)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Fritillaria eastwoodiae)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Puccinellia simplex)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Rhynchospora californica)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Imperata brevifolia)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Lewisia cantelovii)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Tropidocarpum capparideum)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Carex xerophila)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Layia septentrionalis)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Centromadia parryi ssp.
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Hemizonia congesta ssp.
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Downingia pusilla)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Potamogeton zosteriformis)
