zips/2024090682/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Appendixes_OCR.PDF:Brodiaea sierrae
zips/2024090682/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Appendixes_OCR.PDF:Clarkia biloba
zips/2024090682/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Appendixes_OCR.PDF:Clarkia gracilis
zips/2024090682/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Appendixes_OCR.PDF:Clarkia mosquinii
zips/2024090682/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Appendixes_OCR.PDF:Lilium humboldtii
zips/2024090682/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Appendixes_OCR.PDF:Poa sierrae
zips/2024090676/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Compiled.PDF:Chaparral sand-verbena (Abronia villosa var. aurita) is ranked 1B.1 in the CNPS Rare Plant
zips/2024090676/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Compiled.PDF:Coachella Velley milk-vetch (Astragalus lentiginosus var. coachellae) is a federally listed
zips/2024090676/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Compiled.PDF:The triple-ribbed milk-vetch (Astragalus tricarinatus) is a federally listed Endangered species
zips/2024090676/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Compiled.PDF:Slender-horned spineflower (Dodecahema leptoceras) is a federally and state listed Endangered
zips/2024090676/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Compiled.PDF:Parish’s daisy (Erigeron parishii) is a is a federally Threatened Species and is ranked 1B.1 in the
zips/2024090676/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Compiled.PDF:Echinocereus engelmannii
zips/2024090676/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Compiled.PDF:Opuntia basilaris
zips/2024090676/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Compiled.PDF:Prunus fasciculata
zips/2024090676/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Compiled.PDF:Abronia villosa chaparral
zips/2024090644/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App A2_QCB 45-Day Report.PDF:Goldfields (Lasthenia californica)
zips/2024090644/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App A2_QCB 45-Day Report.PDF:Lasthenia californica / GoldEelds
zips/2024090644/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App A2_QCB 45-Day Report.PDF:Lasthenia californica / GoldCelds
zips/2024090644/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App A1_BLR.PDF:(Pholistoma auritum
zips/2024090644/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App A1_BLR.PDF:(Senna covesii)
zips/2024090644/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App A1_BLR.PDF:(Herissantia crispa)
zips/2024090644/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App A1_BLR.PDF:(Linanthus bellus)
zips/2024090644/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App A1_BLR.PDF:(Delphinium parishii
zips/2024090644/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App A1_BLR.PDF:(Berberis higginsiae)
zips/2024090644/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App A1_BLR.PDF:(Lupinus albifrons
zips/2024090644/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App A1_BLR.PDF:Acmispon haydonii)
zips/2024090644/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App A1_BLR.PDF:(Geraea viscida)
