zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:yumanensis); and eleven plants: Sierra arching sedge (Carex cyrtostachya), Stebbin's phacelia (Phace/ia
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:stebbinsii), Sierra blue grass (Poa sierrae), Oval-leaved viburnum (Viburnum ellipticum), True's
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:manzanita (Arctostaphylos mewukka ssp. truei), Brandegee's clarkia (C/arkia biloba ssp. brandegeeae),
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Sierra clarkia (Clarkia virgata), Northern Sierra daisy (Erigeron petrophilus var. sierrensis), Humboldt's
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:lily (Lilium humboldtii ssp. humbo/dtii), Sierra sweet bay (Myrica hartwegii), and Long-fruited
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:jewelflower (Streptanthus longisiliquus). See pages 21-27 for more details .
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Carex cyrtostachya
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Phacelia stebbinsii
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Poa sierrae
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Viburnum ellipticum
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Arctostaphylos mewukka ssp. truei
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Clarkia biloba ssp. brandegeeae
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Clarkia virgata
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Erigeron petrophilus var. sierrensis
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Lilium humboldtii ssp. humboldtii
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Myrica hartwegii
