zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Balsamorhiza macrolepis
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Calycadenia micrantha
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Erigeron greenei
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Lasthenia burkei
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Layia septentrionalis
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Tracyina rostrata
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Amsinckia lunaris
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Plagiobothrys lithocaryus
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Brasenia schreberi
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Arctostaphylos manzanita ssp.
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Lupinus antoninus
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Trichostema ruygtii
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Hesperolinon adenophyllum
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Hesperolinon bicarpellatum
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Sidalcea oregana ssp. hydrophila
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Eriastrum tracyi
