zips/2024100007/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fagundes Res - Draft Initial Study.PDF:(Tuctoria greenei)
zips/2024100007/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fagundes Res - Draft Initial Study.PDF:(Brodiaea insignis)
zips/2024100007/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fagundes Res - Draft Initial Study.PDF:(Fritillaria striata)
zips/2024100007/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fagundes Res - Draft Initial Study.PDF:(Diplacus pictus)
zips/2024100007/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fagundes Res - Draft Initial Study.PDF:(Atriplex cordulata
zips/2024100007/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fagundes Res - Draft Initial Study.PDF:(Atriplex subtilis)
zips/2024100007/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fagundes Res - Draft Initial Study.PDF:Lassics Lupine Lupinus constancei
zips/2024100007/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fagundes Res - Draft Initial Study.PDF:Lasthenia chrysantha
zips/2024100007/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fagundes Res - Draft Initial Study.PDF:Atriplex depressa
zips/2024100007/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fagundes Res - Draft Initial Study.PDF:Diplacus pictus
zips/2024100007/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fagundes Res - Draft Initial Study.PDF:Puccinellia simplex
zips/2024100007/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fagundes Res - Draft Initial Study.PDF:Caulanthus californicus
zips/2024100007/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fagundes Res - Draft Initial Study.PDF:Imperata brevifolia
zips/2024100007/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fagundes Res - Draft Initial Study.PDF:Lasthenia glabrata ssp. coulteri
