zips/2024100080/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PD-24-21 Rancho Caleta CEQA IS_MND (FINAL 9-24-2024).PDF:Atriplex depressa
zips/2024100080/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PD-24-21 Rancho Caleta CEQA IS_MND (FINAL 9-24-2024).PDF:Atriplex persistens
zips/2024100080/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PD-24-21 Rancho Caleta CEQA IS_MND (FINAL 9-24-2024).PDF:Amsinckia lunaris
zips/2024100080/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PD-24-21 Rancho Caleta CEQA IS_MND (FINAL 9-24-2024).PDF:Astragalus tener var.
zips/2024100080/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PD-24-21 Rancho Caleta CEQA IS_MND (FINAL 9-24-2024).PDF:Atriplex cordulata var.
zips/2024100080/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PD-24-21 Rancho Caleta CEQA IS_MND (FINAL 9-24-2024).PDF:Chloropyron palmatum
zips/2024100080/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PD-24-21 Rancho Caleta CEQA IS_MND (FINAL 9-24-2024).PDF:Extriplex joaquinana
zips/2024100080/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PD-24-21 Rancho Caleta CEQA IS_MND (FINAL 9-24-2024).PDF:Hibiscus lasiocarpos var.
zips/2024100080/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PD-24-21 Rancho Caleta CEQA IS_MND (FINAL 9-24-2024).PDF:Lasthenia glabrata ssp.
zips/2024100080/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PD-24-21 Rancho Caleta CEQA IS_MND (FINAL 9-24-2024).PDF:Layia septentrionalis
zips/2024100080/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PD-24-21 Rancho Caleta CEQA IS_MND (FINAL 9-24-2024).PDF:Puccinellia simplex
