zips/2024100489/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2023-00203_Initial Study-MND.PDF:sycamore (Platanus racemosa), California black walnut (Juglans californica), Oregon ash
zips/2024100489/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2023-00203_Initial Study-MND.PDF:racemosa), California black walnut (Juglans californica), Oregon ash (Fraxinus latifolia),
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Biologist Ceanothus Inspection Ltr_ocr.PDF:(Ceanothus purpureus), a CNPS Rank 1B.2 plant with sensitive regulatory status, had
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Biologist Ceanothus Inspection Ltr_ocr.PDF:Wavyleaf ceanothus (Ceanothus foliosus var. foliosus) now provides extensive cover in
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Biologist Ceanothus Inspection Ltr.PDF:(Ceanothus purpureus), a CNPS Rank 1B.2 plant with sensitive regulatory status, had
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Biologist Ceanothus Inspection Ltr.PDF:Wavyleaf ceanothus (Ceanothus foliosus var. foliosus) now provides extensive cover in
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:(Ceanothus foliosus var. foliosus), hollyleaf ceanothus (Ceanothus purpureus), and
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:(Toxicoscordion micranthum), blue witch (Solanum umbelliferum), wavyleaf soap
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:plant (Chlorogalum pomeridianum), scarlet pimpernel (Lysimachia arvensis), western
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:morning glory (Calystegia purpurata ssp. purpurata), goose grass (Galium aparine),
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:catchfly (Silene gallica), and coyote-mint (Monardella villosa).
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Castilleja ambigua
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Ceanothus purpureus
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Clarkia gracilis ssp.
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Collomia diversifolia
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Brodiaea leptandra
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Downingia pusilla
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Erigeron greenei
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Harmonia nutans
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Hesperolinon breweri
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Lasthenia conjugens
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Leptosiphon jepsonii
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Sidalcea keckii
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Trichostema ruygtii
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Brodiaea leptandra
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Castilleja ambigua var. ambigua
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Castilleja ambigua ssp. meadii
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Ceanothus purpureus
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Clarkia gracilis ssp. tracyi
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Collomia diversifolia
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Downingia pusilla
zips/2024100488/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Assess Report.PDF:Erigeron greenei
