zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:(Juncus acutus ssp. leopoldii)
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:(Artemisia palmeri)
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:(Lepidium virginicum var. robinsonii)
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:butterfly (Euphydryas editha quino), San Diego ambrosia (Ambrosia pumila), San Diego buttoncelery (Eryngium aristulatum var. parishii), San Diego mesa-mint (Pogogyne abramsii), San Diego
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:thornmint (Acanthomintha ilicifolia), thread-leaved brodiaea (Brodiaea filifolia), and willowy
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:monardella (Monardella viminea). No federal critical habitats were noted within the BSA. Informal
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:Juncus acutus
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:[=Juncus acutus
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:Brodiaea filifolia /
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:Ambrosia pumila
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:Artemisia palmeri
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:Quercus dumosa
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:Clarkia delicata /
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:sections: San Diego sagewort (=Palmer’s sage; Artemisia palmeri) and Robinson’s peppergrass
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:(Lepidium virginicum var. robinsonii).
