zips/2024110191/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND FOR SPR 22-014.PDF:Alkali mariposa lily (Calochortus striatus) has been recorded ten times in the CNDDB
zips/2024110191/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND FOR SPR 22-014.PDF:White pigmy-poppy (Canbya candida) has been recorded once in the CNDDB within
zips/2024110191/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND FOR SPR 22-014.PDF:Parry’s spineflower (Chorizanthe parryi var. parryi) has been recorded once in the
zips/2024110191/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND FOR SPR 22-014.PDF:Rosamond eriastrum (Eriastrum rosamondense) has been recorded twice in the
zips/2024110191/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND FOR SPR 22-014.PDF:Calochortus striatus
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Mitigated Negative Declaration KiaDealership (MND).PDF:(Quercus lobata), and California black walnut (Juglans californica). The project would plant additional
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Mitigated Negative Declaration KiaDealership (MND).PDF:Ojai navarettia (Navarretia ojaiensis)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Mitigated Negative Declaration KiaDealership (MND).PDF:Nuttall’s scrub oak (Quercus dumosa)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Mitigated Negative Declaration KiaDealership (MND).PDF:chaparral ragwort (Senecio aphanactis)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Mitigated Negative Declaration KiaDealership (MND).PDF:slender mariposa lily (Calochortus clavatus var. gracilis)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:California Walnut – Coast Live Oak (Juglans californica Quercus agrifolia) Woodland Association [72.100.08]**
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:California Black Walnut (Juglans californica)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:There is one (1) California black walnut – coast live oak (Juglans californica – Quercus agrifolia) woodland
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Juglans californica - Quercus
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Astragalus brauntonii
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Astragalus pycnostachyus var. lanosissimus
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Astragalus tener var. titi
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Atriplex coulteri
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Atriplex pacifica
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Atriplex parishii
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Atriplex serenana var. davidsonii
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Baccharis malibuensis
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Calochortus clavatus var. gracilis
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Calochortus fimbriatus
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Calochortus plummerae
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Chloropyron maritimum ssp. maritimum
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Chorizanthe parryi var. fernandina
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Chorizanthe parryi var. parryi
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Deinandra minthornii
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Delphinium parryi ssp. blochmaniae
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Dithyrea maritima
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Dodecahema leptoceras
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Dudleya blochmaniae ssp. blochmaniae
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Dudleya cymosa ssp. agourensis
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Dudleya cymosa ssp. marcescens
