zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:dogbane (Apocynum androsaemifolium), and goose-foot violet (Viola purpurea). A
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:(Allium tribracteatum), yellow-lip pansy monkeyflower (Mimulus pulchellus), and
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Stanislaus monkeyflower (Erythranthe marmorata) are the only special-status plant
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:argillaceus), and Mi-Wuk navarretia (Navarretia miwukensis). The remaining specialstatus plant species in Appendix B, Table 2 are either restricted to specific substrates which
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:violet (Viola purpurea). Table 1 is a list of plant species observed in the site.
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Arctostaphylos manzanita
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Calochortus weedii
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Ceanothus cuneatus
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Viola purpurea
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:(Allium tribracteatum), yellow-lip pansy monkeyflower (Mimulus pulchellus), and
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Stanislaus monkeyflower (Erythranthe marmorata) are the only special-status
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Jepson’s dodder Cuscuta jepsonii
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Horkelia parryi
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Allium tribracteatum
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Arctostaphylos myrtifolia
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Brasenia schreberi
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Calochortus clavatus var. avius
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Chlorogalum grandiflorum
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Crocanthemum suffrutescens
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Cuscuta jepsonii
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Diplacus pulchellus
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Eryngium pinnatisectum
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Erythranthe marmorata
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Horkelia parryi
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Lomatium stebbinsii
zips/2024110310/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PUBLIC REVIEW DRAFT ISMND 102924.PDF:Sphenopholis obtusata
