zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Abies bracteata
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Agrostis blasdalei
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Aphyllon robbinsii
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Arctostaphylos edmundsii
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Arctostaphylos hookeri ssp. hookeri
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Arctostaphylos montereyensis
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Carex obispoensis
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Carlquistia muirii
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Cirsium occidentale var. compactum
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Clarkia jolonensis
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Cordylanthus rigidus ssp. littoralis
