zips/2024120037/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/U23-0023 Initial Study with Attachments - submitted - 12-2-2024.PDF:Pseudobahia bahiifolia
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Atriplex coulteri
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Atriplex pacifica
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Atriplex parishii
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Atriplex serenana
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Brodiaea filifolia
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Calochortus weedii intermediate
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Centromadia parryi southern
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Dudleya multicaulis manystemmed
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Dudleya stolonifera Laguna Beach FT/ST/1B.1
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Dudleya viscida
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Euphorbia misera
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Helianthus nuttallii Los Angeles
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Horkelia cuneata
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Imperata brevifolia California
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Isocoma menziesii
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Lasthenia glabrata
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Lycium brevipes
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Myosurus minimus little mousetail None/None/ None
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Nama stenocarpa
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Nolina cismontana
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Pentachaeta aurea Allen’s
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Phacelia keckii
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Rhinotropis cornuta Fish’s
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Romneya coulteri
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Quercus dumosa
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Senecio aphanactis chaparral
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Suaeda esteroa
zips/2024120012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C_Tree Information and PTO Matrices  - Coyote Canyon Landfill Gas Plant_OPT.PDF:Verbesina dissita
