zips/2024120592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND.PDF:Calycadenia hooveri
zips/2024120592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND.PDF:Orcuttia inaequalis
zips/2024120592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND.PDF:Calycadenia hooveri
zips/2024120592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND.PDF:Castilleja campestris
zips/2024120592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND.PDF:Orcuttia inaequalis
zips/2024120592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND.PDF:Eryngium spinosepalum
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:northeastern portion of the project area includes common spikeweed (Centromadia pungens), prickly
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Centromadia pungens
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Lasthenia chrysantha
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Atriplex depressa
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Puccinellia simplex
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Caulanthus californicus
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Imperata brevifolia
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Orcuttia pilosa
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Atriplex cordulata var. cordulata
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Eriastrum hooveri
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Atriplex minuscula
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Leptosiphon serrulatus
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Chloropyron palmatum
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Delphinium recurvatum
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Orcuttia inaequalis
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Sagittaria sanfordii
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Atriplex subtilis
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Castilleja campestris var. succulenta
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Atriplex cordulata var.
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Atriplex depressa
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Atriplex minuscula
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Atriplex subtilis
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Castilleja campestris
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Eriastrum hooveri
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Goodmania luteola
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Imperata brevifolia
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Lasthenia chrysantha
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Lasthenia ferrisiae
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Orcuttia inaequalis
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Orcuttia pilosa
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Puccinellia simplex
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Sagittaria sanfordii
zips/2024120578/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Fresno Sidestream_PubDraft_ISMND_120102024_Non_Confidential Signed_ADA2.PDF:Trichostema ovatum
