zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:leaf raspberry (Rubus glaucifolius), feathery false lily of the valley (Maianthemum racemosum), western
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Josephine silt loam soils are sometimes associated with known occurrences of Pleasant valley mariposalily (Calochortus clavatus ssp. avius), a California Rare Plant Rank (CRPR) 1B.2 species. Soils in the
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:(Calochortus clavatus var. avius), could potentially occur on the project site. There is potentially limited
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Allium tribracteatum
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Botrychium ascendens
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Botrychium montanum September
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Bruchia bolanderi
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Calochortus clavatus
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Carex cyrtostachya
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Draba asterophora
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Draba asterophora
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Eriogonum luteolum
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Eriogonum tripodum
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Helodium blandowii
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Horkelia parryi
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Juncus digitatus
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Lewisia kelloggii ssp.
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Lewisia kelloggii ssp.
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Lewisia longipetala
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Meesia uliginosa
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Monardella linoides
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Navarretia prolifera
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Peltigera gowardii
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Phacelia stebbinsii
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Poa sierrae
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Botrychium minganense
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Carex cyrtostachya
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Allium tribracteatum (three-bracted onion)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Arctostaphylos nissenana (Nissenan manzanita)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Balsamorhiza macrolepis (big-scale balsamroot)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Botrychium ascendens (upswept moonwort)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Botrychium crenulatum (scalloped moonwort)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Botrychium minganense (mingan moonwort)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Botrychium montanum (western goblin)
