zips/2025010342/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Scoping Document.PDF:californicus), among others, and rare plants such as Gaviota tarplant (Deinandra increscens
zips/2025010372/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Assessment_Updated 8.PDF:(Astragalus tidestromii)
zips/2025010372/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Assessment_Updated 8.PDF:(Boechera lincolnensis)
zips/2025010372/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Assessment_Updated 8.PDF:(Escobaria chlorantha)
zips/2025010372/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Assessment_Updated 8.PDF:Opuntia basilaris
zips/2025010347/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLP22-0003 Kutch Winery MND.PDF:California Black Walnut (Juglans californica), California Buckeye (Aesculus californica), Canyon Live Oak
zips/2025010344/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/25_0110_Grant_Ave-SR128_DRAFT_ISMND.PDF:Fritillaria pluriflora
zips/2025010344/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/25_0110_Grant_Ave-SR128_DRAFT_ISMND.PDF:Astragalus tener var. tener
zips/2025010344/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/25_0110_Grant_Ave-SR128_DRAFT_ISMND.PDF:Navarretia leucocephala ssp. bakeri
zips/2025010344/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/25_0110_Grant_Ave-SR128_DRAFT_ISMND.PDF:Plagiobothrys hystriculus
zips/2025010344/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/25_0110_Grant_Ave-SR128_DRAFT_ISMND.PDF:Puccinellia simplex
zips/2025010344/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/25_0110_Grant_Ave-SR128_DRAFT_ISMND.PDF:Downingia pusilla
zips/2025010344/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/25_0110_Grant_Ave-SR128_DRAFT_ISMND.PDF:Astragalus tener var. ferrisiae
zips/2025010344/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/25_0110_Grant_Ave-SR128_DRAFT_ISMND.PDF:Atriplex cordulata var. cordulata
zips/2025010344/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/25_0110_Grant_Ave-SR128_DRAFT_ISMND.PDF:Sidalcea keckii
zips/2025010344/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/25_0110_Grant_Ave-SR128_DRAFT_ISMND.PDF:Delphinium recurvatum
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Abronia villosa var.
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Acanthomintha ilicifolia
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Adolphia californica
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Ambrosia pumila
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Aphanisma blitoides
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:pine (Pinus torreyana ssp. torreyana)
