zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Ranunculus lobbii
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:bristly leptosiphon (Leptosiphon aureu), and Lobb’s aquatic buttercup (Ranunculus lobbii). According to the
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:[CRPR] 4.2, S3, G3) and Lobb's aquatic buttercup (Ranunculus lobbii, CRPR 4.2, S3, G4).
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Allium peninsulare subsp.
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Astragalus breweri
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Blennosperma bakeri
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Brasenia schreberi
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Carex comosa
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Ceanothus confusus
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Cypripedium californicum
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Cypripedium montanum
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Entosthodon kochii
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Erythranthe nudata
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Fritillaria agrestis
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Fritillaria purdyi
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Gratiola heterosepala
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Grimmia torenii
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Hemizonia congesta
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Hemizonia congesta
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Horkelia bolanderi
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Kopsiopsis hookeri
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Lasthenia burkei
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Layia septentrionalis
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Leptosiphon latisectus
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Lessingia hololeuca
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Lilium rubescens
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Limnanthes bakeri
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Monardella viridis
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Navarretia leucocephala
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Perideridia gairdneri
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Plagiobothrys lithocaryus
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Pleuropogon hooverianus
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Ramalina thrausta
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Ranunculus lobbii
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Silene bolanderi
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Streptanthus glandulosus
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Tracyina rostrata
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Trifolium buckwestiorum
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Usnea longissima
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Viburnum ellipticum
zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Lupinus latifolius
zips/2025010524/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AA 3842 Routing Pkg (revised).PDF:Caulanthus californicus
zips/2025010519/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft IS-MND_Scott Lane Elem MP_1-16-25.PDF:example, the Congdon’s tarplant (Centromadia parryi ssp. congdonii), a CNPS Rank
