zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Calochortus plummerae
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Pseudognaphalium leucocephalum
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Symphyotrichum defoliatum
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Calochortus weedii var. intermedius
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Centromadia parryi ssp. australis
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Dudleya multicaulis
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Horkelia cuneata var. puberula
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Juglans californica
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Phacelia stellaris
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Centromadia parryi southern tarplant PDAST4R0P4
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Plants - Vascular Asteraceae Centromadia parryi
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Phacelia stellaris
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Juglans californica
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Horkelia cuneata
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Plants - Vascular Hydrophyllaceae Phacelia stellaris
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Unprocessed Plants - Vascular Juglandaceae Juglans californica
zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Plants - Vascular Rosaceae Horkelia cuneata
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/INITIAL STUDY IS 24-01 (MIT Farms).PDF:type include wand tarplant (Holocarpha virgata), wild oat (Avena barbata), filaree (Erodium
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/INITIAL STUDY IS 24-01 (MIT Farms).PDF:macrothyrsus), buckbrush (Ceanothus cuneatus), coyote brush (Baccharis pilularis),
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:this habitat type include wand tarplant (Holocarpha virgata), wild oat (Avena barbata),
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:integerrimus var. macrothyrsus), buckbrush (Ceanothus cuneatus), coyote brush
