zips/2025020275/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biology Report.PDF:Canbya candida
zips/2025020275/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biology Report.PDF:Castilleja plagiotoma
zips/2025020275/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biology Report.PDF:Chorizanthe spinosa
zips/2025020275/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biology Report.PDF:Eremothera boothii ssp. boothii
zips/2025020275/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biology Report.PDF:Johnstonella costata
zips/2025020275/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biology Report.PDF:Opuntia basilaris var. brachyclada
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Amsinckia lunaris
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Arctostaphylos silvicola
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Astragalus tener var. tener
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Atriplex depressa
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Atriplex minuscula
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Balsamorhiza macrolepis
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Calyptridium parryi var.
