zips/2025020538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UPE22-0025 Proposed ISMND.PDF:negundo), California Black Walnut (Juglans californica), California Buckeye (Aesculus californica),
zips/2025020535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tract 38625 Oak Hills West Project Draft IS_MND.PDF:San Diego tarweed (Deinandra paniculata), a sensitive plant species, was observed on the Project site
zips/2025020515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN23-0021, TFM23-0001, RZN23-0002, EIS24-0008 Paye Initial Study.PDF:(Rhynchospora capitellata) and the Scadden Flat chekerbloom (Sidalcea stipularis). None
zips/2025020514/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/RC-186 Initial Study (02.PDF:Canbya candida
zips/2025020514/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/RC-186 Initial Study (02.PDF:Chorizanthe spinosa
zips/2025020514/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/RC-186 Initial Study (02.PDF:Loeflingia squarrosa var.
zips/2025020514/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/RC-186 Initial Study (02.PDF:Monardella exilis
zips/2025020514/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/RC-186 Initial Study (02.PDF:Muilla coronata
zips/2025020514/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/RC-186 Initial Study (02.PDF:Pediomelum castoreum
zips/2024051222/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MID_Merced River and Falls Hydroelectric_CEQA_IS_ForReview.PDF:Approximately 4.10 acres of critical habitat f or f leshy owl’s-clover (Castilleja campestris ssp.
zips/2024051222/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MID_Merced River and Falls Hydroelectric_CEQA_IS_ForReview.PDF:succulenta), hairy Orcutt grass (Orcuttia pilosa), and vernal pool f airy shrimp (Branchinecta lynchi)
zips/2024051222/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MID_Merced River and Falls Hydroelectric_CEQA_IS_ForReview.PDF:Agrostis hendersonii
zips/2024051222/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MID_Merced River and Falls Hydroelectric_CEQA_IS_ForReview.PDF:Allium sanbornii var.
zips/2024051222/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MID_Merced River and Falls Hydroelectric_CEQA_IS_ForReview.PDF:Calandrinia breweri
zips/2024051222/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MID_Merced River and Falls Hydroelectric_CEQA_IS_ForReview.PDF:Delphinium hansenii
zips/2024051222/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MID_Merced River and Falls Hydroelectric_CEQA_IS_ForReview.PDF:Eriogonum tripodum
zips/2024051222/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MID_Merced River and Falls Hydroelectric_CEQA_IS_ForReview.PDF:Fritillaria agrestis
zips/2024051222/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MID_Merced River and Falls Hydroelectric_CEQA_IS_ForReview.PDF:Hesperevax caulescens
zips/2024051222/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MID_Merced River and Falls Hydroelectric_CEQA_IS_ForReview.PDF:Jepsonia heterandra
