zips/2025020652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDP_2024-0006 Staff Report FINAL OCR 2.PDF:August 14. 2022 including, coastal bluff morning glory (Calystegia purpurata ssp. saxicola), and a special
zips/2025020652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDP_2024-0006 FINAL MND IS OCR 2.PDF:coastal bluff morning glory (Calystegia purpurata ssp. saxicola), and a special status vegetation
zips/2025020652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDP_2024-0006 FINAL MND IS OCR 2.PDF:including, coastal bluff morning glory (Calystegia purpurata ssp. saxicola), and a special status
zips/2025020651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1M080 Draft IS Final signed 02-10-2025.PDF:Greata’s aster (Symphyotrichum greatae) CNPS Ranked 1B.3
zips/2025020651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1M080 Draft IS Final signed 02-10-2025.PDF:Latimer’s woodland-gilia (Saltugilia latimeri) CNPS Ranked 1B.2
zips/2025020651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1M080 Draft IS Final signed 02-10-2025.PDF:Palmer’s mariposa-lily (Calochortus palmeri var. palmeri) CNPS Ranked
zips/2025020651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1M080 Draft IS Final signed 02-10-2025.PDF:Plummer’s mariposa-lily (Calochortus plummerae) CNPS Ranked 1B.2
zips/2025020651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1M080 Draft IS Final signed 02-10-2025.PDF:San Bernardino aster (Symphyotrichum defoliatum) CNPS Ranked 1B.2
zips/2025020651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1M080 Draft IS Final signed 02-10-2025.PDF:Short-joint beavertail (Opuntia basilaris var. brachyclada) CNPS Ranked
zips/2025020651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1M080 Draft IS Final signed 02-10-2025.PDF:White-bracted spineflower (Chorizanthe xanti var. leucotheca) CNPS
zips/2025020651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1M080 Draft IS Final signed 02-10-2025.PDF:White pygmy-poppy (Canbya candida) CNPS Ranked 4.2
zips/2025020651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1M080 Draft IS Final signed 02-10-2025.PDF:Slender-horned spineflower (Dodecahema leptoceras) FE
zips/2025020651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1M080 Draft IS Final signed 02-10-2025.PDF:Nevin’s barberry (Berberis nevinii) FE
zips/2025020651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1M080 Draft IS Final signed 02-10-2025.PDF:Lassics lupine (Lupinus constancei) SE
zips/2025020651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1M080 Draft IS Final signed 02-10-2025.PDF:the project hexagon include Palmer’s mariposa-lily (Calochortus palmeri var.
zips/2025020637/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ivanhoe PUD - Well No 6 Improvements - Initial Study.PDF:Lasthenia glabrata ssp. couheri
zips/2025020637/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ivanhoe PUD - Well No 6 Improvements - Initial Study.PDF:Orcuttia inaequalis
zips/2025020637/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ivanhoe PUD - Well No 6 Improvements - Initial Study.PDF:Sagittaria sanfordii
