zips/2025021019/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SBCWD_ADRoP_IS_EA_-compressed.PDF:San Joaquin spearscale (Extriplex joaquinana) – CRPR 1B.2
zips/2025021019/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SBCWD_ADRoP_IS_EA_-compressed.PDF:Prostrate vernal pool navarretia (Navarretia prostrata) – CRPR 1B.1
zips/2025021019/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SBCWD_ADRoP_IS_EA_-compressed.PDF:Saline clover (Trifolium hydrophilum) – CRPR 1B.2
zips/2025021019/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SBCWD_ADRoP_IS_EA_-compressed.PDF:Extriplex joaquinana
zips/2025021019/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SBCWD_ADRoP_IS_EA_-compressed.PDF:Navarretia prostrata
zips/2025021019/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SBCWD_ADRoP_IS_EA_-compressed.PDF:Trifolium hydrophilum
zips/2025021019/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SBCWD_ADRoP_IS_EA_-compressed.PDF:San Joaquin spearscale (Extriplex joaquinana) is a CNPS CRPR 1B.2 annual herb in
zips/2025021019/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SBCWD_ADRoP_IS_EA_-compressed.PDF:Prostrate vernal pool navarretia (Navarretia prostrata) is a CNPS CRPR 1B.1 annual herb
zips/2025021019/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SBCWD_ADRoP_IS_EA_-compressed.PDF:Saline clover (Trifolium hydrophilum) is a CNPS CRPR 1B.2 annual herb in the pea family
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/City_of_Fortuan_12th Street ISMND_Public.PDF:Hosackia gracilis
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/City_of_Fortuan_12th Street ISMND_Public.PDF:Sidalcea malachroides
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/City_of_Fortuan_12th Street ISMND_Public.PDF:Sidalcea malviflora ssp. patula
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/City_of_Fortuan_12th Street ISMND_Public.PDF:Lilium kelloggii
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/City_of_Fortuan_12th Street ISMND_Public.PDF:Mitellastra caulescens
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/City_of_Fortuan_12th Street ISMND_Public.PDF:Chrysosplenium glechomifolium
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/City_of_Fortuan_12th Street ISMND_Public.PDF:Ribes laxiflorum
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Abronia umbellata var.
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Angelica lucida
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Anomobryum julaceum
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Astragalus pycnostachyus var.
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Astragalus rattanii var. rattanii
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Cardamine angulata
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Carex leptalea
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Carex lyngbyei
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Castilleja ambigua var.
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Castilleja litoralis
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Chloropyron maritimum ssp.
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Chrysosplenium glechomifolium
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Clarkia amoena ssp. whitneyi
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Collomia tracyi
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Erysimum menziesii
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Erythronium oregonum
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Erythronium revolutum
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Fissidens pauperculus
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Gilia capitata ssp. pacifica
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Gilia millefoliata
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Glehnia littoralis ssp. leiocarpa
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Hemizonia congesta ssp. tracyi
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Hesperevax sparsiflora var.
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Hosackia gracilis
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Lathyrus glandulosus
