zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:(Ceanothus cuneatus). These woodlands play a crucial role in erosion control, water
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Fritillaria eastwoodiae
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Carex xerophila
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Galium californicum
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Allium jepsonii
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Packera layneae
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Viburnum ellipticum
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Horkelia parryi
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Ceanothus roderickii
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Sagittaria sanfordii
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Carex cyrtostachya
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Poa sierrae
