zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Aphanisma blitoides
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Atriplex coulteri
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Atriplex pacifica
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Atriplex parishii
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Atriplex serenana var. davidsonii
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Calochortus catalinae
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Calystegia peirsonii
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Centromadia parryi ssp. australis
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Centromadia pungens ssp. laevis
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Chloropyron maritimum ssp. maritimum
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Cistanthe maritima
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Convolvulus simulans
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Dithyrea maritima
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Dudleya virens ssp. insularis
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Erysimum suffrutescens
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Horkelia cuneata var. puberula
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Isocoma menziesii var. decumbens
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Juglans californica
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Juncus acutus ssp. leopoldii
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Lasthenia glabrata ssp. coulteri
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Lycium brevipes var. hassei
