zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:A total of two plant species, California jewelflower (Caulanthus californicus) and Bakersfield cactus
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Astragalus hornii var. hornii
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Atriplex cordulata var. cordulata
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Atriplex coronata var. vallicola
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Atriplex tularensis
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Calochortus palmeri var. palmeri
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Calochortus striatus
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Caulanthus californicus
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Chloropyron molle ssp. hispidum
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Clarkia tembloriensis ssp. calientensis
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Delphinium purpusii
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Delphinium recurvatum
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Diplacus pictus
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Eremalche parryi ssp. kernensis
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Eriastrum hooveri
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Eriastrum tracyi
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Eschscholzia lemmonii ssp. kernensis
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Fritillaria striata
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Heterotheca shevockii
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Imperata brevifolia
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Layia leucopappa
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Layia munzii
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Monardella linoides ssp. anemonoides
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Monolopia congdonii
