zips/2025030843/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SPR 23-006 Biological Resources Report.PDF:brevifolia), Rosamond eriastrum (Eriastrum rosamondense), desert cymopterus (Cymopterus
zips/2025030843/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SPR 23-006 Biological Resources Report.PDF:Joshua tree (Yucca brevifolia), alkali mariposa lily (Calochortus striatus), desert cymopterus
zips/2025030843/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SPR 23-006 Biological Resources Report.PDF:(Cymopterus deserticola), and Barstow woolly sunflower (Eriophyllum mohanense).
zips/2025030843/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SPR 23-006 Biological Resources Report.PDF:Atriplex argentea
zips/2025030843/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SPR 23-006 Biological Resources Report.PDF:Calochortus striatus
zips/2025030843/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SPR 23-006 Initial Study - Final.PDF:Silverscale (Atriplex argentea)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Atriplex depressa)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Diplacus pictus)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Puccinellia simplex)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Imperata brevifolia)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Lasthenia glabrata
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Tuctoria greenei)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Euphorbia hooveri)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Brodiaea insignis)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Atriplex minuscula)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Nama stenocarpa)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Orcuttia inaequalis)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Sagittaria sanfordii)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Fritillaria striata)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Atriplex subtilis)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Atriplex persistens)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Helianthus winteri)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Atriplex depressa )
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Diplacus pictus)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Puccinellia simplex)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Imperata brevifolia )
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Lasthenia glabrata
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Atriplex cordulata
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Tuctoria greenei)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Atriplex cordulata
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Euphorbia hooveri)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Brodiaea insignis)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Atriplex minuscula )
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Nama stenocarpa )
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Orcuttia inaequalis)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Sagittaria sanfordii)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Fritillaria striata )
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Atriplex subtilis)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Atriplex persistens)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:(Helianthus winteri)
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Lasthenia chrysantha
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Atriplex depressa
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Diplacus pictus
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Puccinellia simplex
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Caulanthus californicus
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Imperata brevifolia
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Lasthenia glabrata ssp. coulteri
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Atriplex cordulata var. erecticaulis
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Tuctoria greenei
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Atriplex cordulata var. cordulata
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Euphorbia hooveri
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Brodiaea insignis
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Atriplex minuscula
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Nama stenocarpa
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Delphinium recurvatum
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Pseudobahia peirsonii
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Orcuttia inaequalis
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Sagittaria sanfordii
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Eryngium spinosepalum
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Fritillaria striata
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Atriplex subtilis
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Atriplex persistens
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Helianthus winteri
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:Greene's Tuctoria Tuctoria greenei
zips/2025030880/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KDWCD_Draft IS.PDF:San Joaquin Adobe Sunburst Pseudobahia peirsonii
