zips/2025030958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1 Biological Study.PDF:included blue oak, interior live oak, foothill pine, buck brush (Ceanothus cuneatus), and large patches of
zips/2025030958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1 Biological Study.PDF:(Allium tuolumnense)
zips/2025030958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1 Biological Study.PDF:(Clarkia australis)
zips/2025030958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1 Biological Study.PDF:(Clarkia biloba ssp.
zips/2025030958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1 Biological Study.PDF:(Clarkia rostrata)
zips/2025030958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1 Biological Study.PDF:(Cryptantha mariposae)
zips/2025030958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1 Biological Study.PDF:(Diplacus pulchellus)
zips/2025030958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1 Biological Study.PDF:(Lupinus spectabilis)
zips/2025030965/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0060 Gabelman IS-MND (Final-Signed-OCR-Imaged).PDF:diversifolium), Pacific sanicle (Sanicula crassicaulis), soaproot (Chlorogalum pomeridianum),
zips/2025030965/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0060 Gabelman IS-MND (Final-Signed-OCR-Imaged).PDF:Brandegee's Clarkia (Clarkia biloba ssp. brandegeeae)
zips/2025030965/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0060 Gabelman IS-MND (Final-Signed-OCR-Imaged).PDF:Cantelow's Lewisia (Lewisia cantelovii)
zips/2025030965/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0060 Gabelman IS-MND (Final-Signed-OCR-Imaged).PDF:Elongate Copper Moss (Mielichhoferia elongata)
zips/2025030965/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0060 Gabelman IS-MND (Final-Signed-OCR-Imaged).PDF:Butte County Fritillary (Fritillaria eastwoodiae)
zips/2025030965/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0060 Gabelman IS-MND (Final-Signed-OCR-Imaged).PDF:Brandeqee's Clarkia (Clarkia biloba ssp. brandeqeeae) :
zips/2025030965/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0060 Gabelman IS-MND (Final-Signed-OCR-Imaged).PDF:Cantelow's Lewisia (Lewisia cantelovii) :
zips/2025030965/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0060 Gabelman IS-MND (Final-Signed-OCR-Imaged).PDF:Butte County Fritillary (Fritillaria eastwoodiae):
