zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Allium peninsulare var. Cismontane
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Amorpha californica
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Astragalus claranus
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Astragalus tener var.
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Blennosperma bakeri
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Brodiaea leptandra
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Ceanothus confusus
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Ceanothus divergens
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Ceanothus sonomensis Chaparral,
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Centromadia parryi
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Clarkia breweri
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Fritillaria liliacea
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Hemizonia congesta
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Horkelia tenuiloba
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Downingia pusilla
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Eryngium jepsonii
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Lasthenia conjugens
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Layia septentrionalis
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Leptosiphon jepsonii
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Limnanthes vinculans
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Lomatium repostum
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Lupinus sericatus
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Trichostema ruygtii
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Trifolium amoenum,
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Plagiobothrys strictus
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Poa napensis
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Ranunculus lobbii
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Trifolium hydrophilum
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Arctostaphylos manzanita Parry ssp. glaucesens Woodlands
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Rosa gymnocarpa Nuttall.
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Nemophila parviflora Hook.&Arn. var. parviflora Woodlands
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Lupinus latifolius J.Agardh ssp. latifolius
zips/2025040340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - Biological Resource Survey Harcross 9-2023.PDF:Castilleja affinis subsp. affinis Hook. & Am. Grasslands Dry Brushy
