zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Astragalus tener var. tener
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Atriplex depressa
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Astragalus tener var.
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Atriplex cordulata var.
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Centromadia parryi ssp.
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Chloropyron palmatum
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Delphinium recurvatum
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Downingia pusilla
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Eryngium jepsonii
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Extriplex joaquinana
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Hibiscus lasiocarpos var.
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Lepidium latipes var.
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Navarretia leucocephala
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Plagiobothrys hystriculus
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Sidalcea keckii
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Trifolium hydrophilum
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Fritillaria pluriflora
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Neostapfia colusana
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Puccinellia simplex
zips/2025040382/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Plainfield Substation Draft MND_April2025_508 ADA.PDF:Tuctoria mucronata
zips/2025040383/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2022-00180_Initial Study_Mitigated Negative Declaration.PDF:sycamore (Platanus racemosa), California black walnut (Juglans californica), Oregon
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:The beach spectaclepod (Dithyrea maritima), a State Threatened plant species, has a low potential
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:maritima, California Rare Plant Rank [CRPR] 2B.2) and red sand verbena (Abronia maritima, CRPR
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:red sand verbena (Abronia maritima; CRPR 4.2), seaside heliotrope (Heliotropum curassavicum var.
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:the study area (Appendix D). The beach spectaclepod (Dithyrea maritima), a State Threatened (ST)
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Abronia maritima
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Aphanisma blitoides
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Calandrinia breweri
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Chenopodium littoreum
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Dithyrea maritima
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Erysimum insulare
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Isocoma menziesii var.
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Juncus acutus ssp. leopoldii
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Mucronea californica
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Phacelia ramosissima var.
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Phacelia stellaris
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Suaeda taxifolia
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Abronia maritima
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Malacothrix incana
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Abronia maritima
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Aphanisma blitoides
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Asplenium vespertinum
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Astragalus brauntonii
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Astragalus pycnostachyus
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Astragalus tener var. titi
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Atriplex coulteri
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Atriplex pacifica
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Atriplex parishii
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Atriplex serenana var.
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Baccharis malibuensis
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Baccharis plummerae
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Calandrinia breweri
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Calochortus catalinae
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Calochortus clavatus var.
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Calochortus clavatus var.
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Calochortus plummerae
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Camissoniopsis lewisii
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Centromadia parryi ssp.
