zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:A total of 3 plant species, Kern mallow (Eremalche parryi ssp. kernensis), Hoover’s eriastrum
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:(Eriastrum hooveri), and Mexican mosquito fern (Azolla microphylla), and 12 wildlife species,
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Astragalus hornii var. hornii
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Atriplex cordulata var. cordulata
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Atriplex cordulata var. erecticaulis
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Atriplex coronata var. vallicola
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Atriplex minuscula
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Atriplex subtilis
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Calochortus striatus
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Caulanthus californicus
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Cirsium crassicaule
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Delphinium recurvatum
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Eremalche parryi ssp. kernensis
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Eriastrum hooveri
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Eschscholzia lemmonii ssp. kernensis
