zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Tortula californica
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Senecio aphanactis
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Abronia villosa var. aurita
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Lasthenia glabrata ssp. coulteri
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Atriplex serenana var. davidsonii
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Myosurus minimus ssp. apus
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Chorizanthe polygonoides var. longispina
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Arenaria paludicola
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Allium munzii
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Berberis nevinii
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Harpagonella palmeri
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Atriplex parishii
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Chorizanthe parryi var. parryi
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Caulanthus simulans
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Calochortus plummerae
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Lepidium virginicum var. robinsonii
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Chloropyron maritimum ssp. maritimum
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Ambrosia pumila
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Atriplex coronata var. notatior
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Centromadia pungens ssp. laevis
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Navarretia fossalis
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Brodiaea filifolia
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Texosporium sancti-jacobi
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Trichocoronis wrightii var. wrightii
