zips/2025041055/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit C - Napa False-Indigo Plants Assessment Fantesca_OCR.PDF:Napa False-Indigo (Amorpha californica var. napensis)
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C1 - Biological Assessment 1 - Flattened CEQAnet.PDF:Chaparral sand-verbena (Abronia villosa var. aurita) is ranked 1B.1 in the CNPS Rare Plant
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C1 - Biological Assessment 1 - Flattened CEQAnet.PDF:Lane Mountain milk-vetch (Astragalus jaegerianus) is a federally listed Endangered species and
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C1 - Biological Assessment 1 - Flattened CEQAnet.PDF:Parish’s phacelia (Phacelia parishii) is ranked 1B.1 in the CNPS Rare Plant Inventory. This
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C1 - Biological Assessment 1 - Flattened CEQAnet.PDF:Abronia villosa
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C1 - Biological Assessment 1 - Flattened CEQAnet.PDF:Muilla coronata
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C2 - Biological Assessment 2 - Flattened CEQAnet.PDF:Chaparral sand-verbena (Abronia villosa var. aurita) is ranked lB.1 in the CNPS Rare Plant
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C2 - Biological Assessment 2 - Flattened CEQAnet.PDF:Lane Mountain milk-vetch (Astragalus jaegerianus) is a federally listed Endangered species and
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C2 - Biological Assessment 2 - Flattened CEQAnet.PDF:Parish's phacelia (Phacelia parishii) is ranked lB.1 in the CNPS Rare Plant Inventory. This
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C2 - Biological Assessment 2 - Flattened CEQAnet.PDF:Abronia villosa
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C2 - Biological Assessment 2 - Flattened CEQAnet.PDF:Muilla coronata
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C3 - Biological Assessment 3 - Flattened CEQAnet.PDF:White pygmy poppy (Canbya candida) is ranked 4.2 in the CNPS Rare Plant Inventory. Its
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lynx Cat Mtn Quarry Expansion Final IS-MND  4-10-2025 Final_.PDF:Chaparral sand-verbena (Abronia villosa var. aurita) is ranked 1B.1 in the CNPS
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lynx Cat Mtn Quarry Expansion Final IS-MND  4-10-2025 Final_.PDF:Lane Mountain milk-vetch (Astragalus jaegerianus) is a federally listed Endangered
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lynx Cat Mtn Quarry Expansion Final IS-MND  4-10-2025 Final_.PDF:Parish’s phacelia (Phacelia parishii) is ranked 1B.1 in the CNPS Rare Plant
