zips/2025041299/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KNAUF IS.PDF:lobata) and a few buckbrush shrubs (Ceanothus cuneatus) are present. No elderberry (Sambucus sp.)
zips/2025041299/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KNAUF IS.PDF:patches (Rubus armeniacus) and a few buckbrush shrubs (Ceanothus cuneatus).
zips/2025041299/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KNAUF IS.PDF:(Quercus lobata) and a few buckbrush shrubs (Ceanothus cuneatus) are present. No elderberry
zips/2025041299/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KNAUF IS.PDF:(Ceanothus cuneatus) shrubs are present. Thick vegetation is present both above and below the
zips/2025041299/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KNAUF IS.PDF:(Ceanothus cuneatus) shrubs are present. Vegetation species observed within the survey area are
zips/2025041299/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KNAUF IS.PDF:Ceanothus cuneatus
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:(Pinus contorta).
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Astragalus lentiformis
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Astragalus pulsiferae var.
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Botrychium crenulatum
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Botrychium minganense
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Bruchia bolanderi
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Carex sheldonii
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Epilobium palustre
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Ivesia sericoleuca
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Juncus luciensis
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Lewisia kelloggii ssp.
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Lomatium roseanum
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Meesia uliginosa
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Penstemon sudans
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Poa sierrae
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Potamogeton praelongus
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Pyrrocoma lucida
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Rhamnus alnifolia
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Scutellaria galericulata
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Trichodon cylindricus
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Trifolium lemmonii
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Artemisia tripartita ssp.
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Astragalus pulsiferae var.
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Astragalus webberi
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Balsamorhiza macrolepis
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Botrychium ascendens
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Botrychium montanum
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Botrychium neolunaria
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Botrychium pinnatum
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Buxbaumia viridis
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Artemisia tripartita ssp.
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Claytonia palustris
