zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Balsamorhiza macrolepis
zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Centromadia parryi ssp. congdonii
zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Chorizanthe robusta var. robusta
zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Cirsium fontinale var. campylon
zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Clarkia concinna ssp. automixa
zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Collinsia multicolor
zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Dudleya abramsii ssp. setchellii
zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Fritillaria liliacea
zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Lasthenia conjugens
zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Lessingia micradenia var. glabrata
zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Malacothamnus hallii
zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Plagiobothrys glaber
zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Senecio aphanactis
zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Trifolium hydrophilum
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:elevational range: cut-leaf anemone (Anemone multifida var. multifida), green
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:shield-moss (Buxbaumia viridis), split-hair paintbrush (Castilleja schizotricha), Mt.
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Eddy draba (Draba carnosula), yellow willowherb (Epilobium luteum), Siskiyou
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:fireweed (Epilobium siskiyouense), Oregon bedstraw (Galium oreganum), Regel’s
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:rush (Juncus regelii), Oregon bluebells (Mertensia bella), Siskiyou phacelia
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:(Phacelia leonis), snow dwarf bramble (Rubus nivalis), water bulrush
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:(Schoenoplectus subterminalis), and Cascade stonecrop (Sedum divergens). All of
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:required serpentine habitat: Waldo rockcress (Arabis aculeolata), McDonald’s
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:rockcress (Arabis mcdonaldiana), serpentine sedge (Carex serpenticola), Waldo
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:daisy (Erigeron bloomeri var. nudatus), Klamath mountain buckwheat (Eriogonum
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:hirtellum), Siskiyou iris (Iris bracteata), horned butterwort (Pinguicula
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:macroceras), Gasquet rose (Rosa gymnocarpa var. serpentina), and Del Norte
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:checkerbloom (Sidalcea elegans).
