zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Abronia maritima
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Abronia villosa var. aurita
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Aphanisma blitoides
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Astragalus hornii var. hornii
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Astragalus pycnostachyus
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Atriplex coulteri
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Atriplex pacifica
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Atriplex parishii
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Atriplex serenana var.
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Calystegia felix
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Camissoniopsis lewisii
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Centromadia parryi ssp.
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Chaenactis glabriuscula var.
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Chloropyron maritimum
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Cistanthe maritima
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Comarostaphylis diversifolia
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Convolvulus simulans
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Deinandra paniculata
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Dichondra occidentalis
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Dudleya multicaulis
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Dudleya stolonifera
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Eriastrum densifolium ssp.
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Eryngium aristulatum var.
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Euphorbia misera
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Harpagonella palmeri
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Helianthus nuttallii ssp.
