zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Astragalus tener var.
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Lasthenia chrysantha
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Puccinellia simplex
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Caulanthus lemmonii
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Navarretia nigelliformis
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Eryngium spinosepalum
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Atriplex cordulata
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Atriplex minuscula
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Atriplex persistens
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Atriplex subtilis
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Clarkia rostrata
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Eryngium racemosum
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Eryngium spinosepalum
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Fritillaria falcata
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Neostapfia colusana
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Orcuttia inaequalis
zips/2025051142/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto Founders Point_ISMND_5-22-25.PDF:Tuctoria greenei
