zips/2025051273/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A 28th_and_Q_St_Rio_Linda_Bio_Letter_Report.PDF:Campanulaceae > Downingia pusilla
zips/2025051273/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A 28th_and_Q_St_Rio_Linda_Bio_Letter_Report.PDF:Plantaginaceae > Gratiola heterosepala
zips/2025051273/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A 28th_and_Q_St_Rio_Linda_Bio_Letter_Report.PDF:Themidaceae > Brodiaea rosea ssp. vallicola
zips/2025051273/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A 28th_and_Q_St_Rio_Linda_Bio_Letter_Report.PDF:Alismataceae > Sagittaria sanfordii
zips/2025051273/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A 28th_and_Q_St_Rio_Linda_Bio_Letter_Report.PDF:Liliaceae > Fritillaria agrestis
zips/2025051273/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A 28th_and_Q_St_Rio_Linda_Bio_Letter_Report.PDF:Downingia pusilla
zips/2025051273/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A 28th_and_Q_St_Rio_Linda_Bio_Letter_Report.PDF:Brodiaea rosea
zips/2025051273/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A 28th_and_Q_St_Rio_Linda_Bio_Letter_Report.PDF:Fritillaria agrestis
zips/2025051273/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C 28th_and_Q_St_Rio_Linda_Arborist_Report.PDF:hybrids; California sycamore (Platanus racemose); Northern California black walnut (Juglans californica
zips/2025051273/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLER2024-00096 Initial Study and checklist - OCR.PDF:Downingia pusilla
zips/2025051273/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLER2024-00096 Initial Study and checklist - OCR.PDF:Sagittaria sanfordii
zips/2025051273/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLER2024-00096 Initial Study and checklist - OCR.PDF:Fritillaria agrestis
