zips/2025060163/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resource Letter.PDF:(Abronia villosa var. aurita)
zips/2025060163/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resource Letter.PDF:(Arenaria paludicola)
zips/2025060163/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resource Letter.PDF:(Berberis nevinii)
zips/2025060163/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resource Letter.PDF:(Centromadia pungens ssp.
zips/2025060163/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resource Letter.PDF:(Chloropyron maritimum ssp.
zips/2025060163/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resource Letter.PDF:(Chorizanthe parryi var. parryi)
zips/2025060163/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resource Letter.PDF:(Chorizanthe xanti var.
zips/2025060163/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resource Letter.PDF:(Cuscuta obtusiflora var.
zips/2025060163/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resource Letter.PDF:(Dodecahema leptoceras)
zips/2025060163/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resource Letter.PDF:(Eriastrum densifolium ssp.
zips/2025060163/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resource Letter.PDF:(Imperata brevifolia)
zips/2025060163/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resource Letter.PDF:(Malacothamnus parishii)
zips/2025060164/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2Y050_MRN101_DraftIS-MND_508.PDF:respectively: Point Reyes salty bird’s-beak (Chloropyron maritimum ssp. palustre) and
zips/2025060164/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2Y050_MRN101_DraftIS-MND_508.PDF:congested-headed hayfield tarplant (Hemizonia congesta ssp. congesta). The California
zips/2025060165/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CommCtrPkMP_IS-MND_05292025.PDF:Gratiola heterosepala
zips/2025060165/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CommCtrPkMP_IS-MND_05292025.PDF:Downingia pusilla
zips/2025060165/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CommCtrPkMP_IS-MND_05292025.PDF:Navarretia myersii ssp. myersii
zips/2025060165/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CommCtrPkMP_IS-MND_05292025.PDF:Juncus leiospermus var. ahartii
zips/2025060165/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CommCtrPkMP_IS-MND_05292025.PDF:Fritillaria agrestis
zips/2025060165/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CommCtrPkMP_IS-MND_05292025.PDF:Brodiaea rosea ssp. vallicola
zips/2025060165/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CommCtrPkMP_IS-MND_05292025.PDF:Balsamorhiza macrolepis
zips/2025060165/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CommCtrPkMP_IS-MND_05292025.PDF:Chloropyron molle ssp. hispidum
zips/2025060165/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CommCtrPkMP_IS-MND_05292025.PDF:Clarkia biloba ssp. brandegeeae
zips/2025060165/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CommCtrPkMP_IS-MND_05292025.PDF:Downingia pusilla
zips/2025060165/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CommCtrPkMP_IS-MND_05292025.PDF:Gratiola heterosepala
