zips/2025060366/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2023-00136 Vineyard Springs IS-MND - ocr.PDF:Dwarf downingia (Downingia pusilla) CRPR: 2B.2
zips/2025060366/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2023-00136 Vineyard Springs IS-MND - ocr.PDF:Cuscuta obtusiflora var.
zips/2025060366/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2023-00136 Vineyard Springs IS-MND - ocr.PDF:Hibiscus lasiocarpos var.
zips/2025060366/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2023-00136 Vineyard Springs IS-MND - ocr.PDF:Juncus leiospermus var.
zips/2025060366/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2023-00136 Vineyard Springs IS-MND - ocr.PDF:Lasthenia chrysantha
zips/2025060366/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2023-00136 Vineyard Springs IS-MND - ocr.PDF:Lepidium latipes var.
zips/2025060366/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2023-00136 Vineyard Springs IS-MND - ocr.PDF:Orcuttia tenuis
zips/2025060366/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2023-00136 Vineyard Springs IS-MND - ocr.PDF:Orcuttia viscida
zips/2025060366/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2023-00136 Vineyard Springs IS-MND - ocr.PDF:Sagittaria sanfordii
zips/2025060366/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2023-00136 Vineyard Springs IS-MND - ocr.PDF:Trifolium hydrophilum
zips/2025060366/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLNP2023-00136 Vineyard Springs IS-MND - ocr.PDF:Dwarf downingia (Downingia pusilla) CRPR: 28.2
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Malacothamnus davidsonii)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Lagophylla diabolensis)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Calycadenia villosa)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Deinandra halliana)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Chorizanthe biloba var. immemora)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Sidalcea hickmanii ssp. hickmanii)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Plagiobothrys uncinatus)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Malacothamnus aboriginum)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Aristocapsa insignis)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Clarkia jolonensis)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Chorizanthe pungens var. pungens)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Layia heterotricha)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Delphinium recurvatum)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Collinsia antonina)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Camissonia benitensis)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Collinsia multicolor)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Hooveria purpurea var. purpurea)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Navarretia nigelliformis ssp. radians)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Delphinium umbraculorum)
zips/2025060369/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Eriogonum heermannii var. occidentale)
