zips/2025060492/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ONT UT1072 MMRP 5-30-25(FINAL).PDF:Quercus engelmannii (Engelmann Oak), [v] Quercus lobata (Valley
zips/2025060492/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario INITIAL STUDY_06-05-2025Final_OPR.PDF:Pinus torreyana (Torrey Pine),
zips/2025060492/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario INITIAL STUDY_06-05-2025Final_OPR.PDF:Quercus engelmannii (Engelmann Oak),
zips/2025060492/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario INITIAL STUDY_06-05-2025Final_OPR.PDF:[i] Platanus racemosa (California Sycamore), [ii] Pinus torreyana (Torrey Pine), [iii] Quercus agrifolia
zips/2025060492/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario INITIAL STUDY_06-05-2025Final_OPR.PDF:(Coast Live Oak), [iv] Quercus engelmannii (Engelmann Oak), [v] Quercus lobata (Valley Oak), or [vi]
zips/2025060497/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - 2021 11 29 - Biologial Resources Report.PDF:Allium peninsulare var.
zips/2025060497/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - 2021 11 29 - Biologial Resources Report.PDF:Alopecurus aequalis var.
zips/2025060497/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - 2021 11 29 - Biologial Resources Report.PDF:Amorpha californica var.
zips/2025060497/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - 2021 11 29 - Biologial Resources Report.PDF:Amsinckia lunaris
zips/2025060497/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - 2021 11 29 - Biologial Resources Report.PDF:Arctostaphylos bakeri ssp.
zips/2025060497/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - 2021 11 29 - Biologial Resources Report.PDF:Astragalus breweri
zips/2025060497/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - 2021 11 29 - Biologial Resources Report.PDF:Astragalus claranus
zips/2025060497/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - 2021 11 29 - Biologial Resources Report.PDF:Astragalus clevelandii
zips/2025060497/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - 2021 11 29 - Biologial Resources Report.PDF:Astragalus tener var. tener
zips/2025060497/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - 2021 11 29 - Biologial Resources Report.PDF:Balsamorhiza macrolepis
zips/2025060497/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit A - 2021 11 29 - Biologial Resources Report.PDF:Blennosperma bakeri
