zips/2025060727/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_3CRA120300_Lynwood Park_Tree Rpt_090624.PDF:chrysolepis), Engelmann oak (Quercus engelmannii), California walnut (Juglans
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:to occur within or near the project site, including San Joaquin Spearscale (Extriplex joaquinana),
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Wooly rose-mallow (Hibiscus lasiocarpos var. occidentalis), Large-flowered fiddleneck
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:(Amsinckia grandiflora), Delta tule pea (Lathyrus jepsonii var. jepsonii), Manson’s lilaepsis
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:(Lilaepsis masonii), Delta mudwort (Limosella australis), Suisun Marsh Aster (Symphotrichum
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Large-flowered Fiddleneck Amsinckia grandiflora
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Astragalus tener var. tener
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Oenothera deltoides ssp. howellii
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Blepharizonia plumosa
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Cicuta maculata var. bolanderi
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Hesperolinon breweri
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Tropidocarpum capparideum
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Eryngium racemosum
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Limosella australis
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Lathyrus jepsonii var. jepsonii
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Scutellaria galericulata
