zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:(Clarkia biloba ssp. brandegeeae), wooly-fruited sedge (Carex lasiocarpa), and water bulrush
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:(Schoenoplectus subterminalis). The literature review concluded that suitable habitat for
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Botrychium crenulatum
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Carex davyi
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Carex lasiocarpa
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Corallorhiza trifida
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Epilobium howellii
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Erigeron miser
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Eriogonum umbellatum var. torreyanum
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Oreostemma elatum
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Phacelia stebbinsii
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Potamogeton praelongus
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Penstemon personatus
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Poa sierrae
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Rhynchospora alba
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Schoenoplectus subterminalis
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Viola tomentosa
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Carex davyi
