zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Initial Study MND.PDF:and with, golden aster (Heterotheca sessiliflora).
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Initial Study MND.PDF:(Agrostis blasdalei}, as shown in Figure 3, Existing and Proposed Development Relative
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Initial Study MND.PDF:(Erysimum concinnum), as shown in Figure 3, Existing and Proposed Development
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Initial Study MND.PDF:(Hesperevax sparsiflora ssp. brevifoliata) as shown in Figure 3, Existing and Proposed
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:and with, golden aster (Heterotheca sessiliflora).
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:(Agrostis blasdalei}, as shown in Figure 3, Existing and Proposed Development Relative
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:(Erysimum concinnum), as shown in Figure 3, Existing and Proposed Development
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:(Hesperevax sparsiflora ssp. brevifoliata) as shown in Figure 3, Existing and Proposed
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Hesperevax sparsiflora var. brevifolia
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Heterotheca sessiliflora ssp. bolanderi
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Lasthenia californica ssp. californica
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Erysimum menziesii ssp. concinnum
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Sidalcea malviflora ssp. malviflora
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Platystemon californicus
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Agrostis blasdalei
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:(Eschscholzia californica), and checker mallow ( Sidalcea malviflora ssp. malviflora). Also present were
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:brome (Bromus maritim us), short-leaved evax (Hesperevax sparsiflora ssp. brevifoliata), coastal gumweed
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:pseudonarcissus), yarrow (Achillea millefolium), headland wallflower (Erysimum concinnum), Henderson's
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:described as goldenaster - California oatgrass prairie (Heterotheca sessiliflora - Danthonia californica
