zips/2025071209/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0118 Koch DVP IS-MND (Signed-OCR-flattened).PDF:Brandegee’s Clarkia (Clarkia biloba ssp. brandegeeae)
zips/2025071209/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0118 Koch DVP IS-MND (Signed-OCR-flattened).PDF:Scadden Flat Checkerbloom (Sidalcea stipularis)
zips/2025071209/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0118 Koch DVP IS-MND (Signed-OCR-flattened).PDF:Pine Hill Flannelbush (Fremontodendron decumbens)
zips/2025071209/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0118 Koch DVP IS-MND (Signed-OCR-flattened).PDF:Brownish Beaked-Rush (Rhynchospora capitellata)
zips/2025071209/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0118 Koch DVP IS-MND (Signed-OCR-flattened).PDF:Stebbins’ Morning Glory (Calystegia stebbinsii)
zips/2025071209/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0118 Koch DVP IS-MND (Signed-OCR-flattened).PDF:Chaparral Sedge (Carex xerophila)
zips/2025071209/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0118 Koch DVP IS-MND (Signed-OCR-flattened).PDF:Finger Rush (Juncus digitatus)
zips/2025071209/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0118 Koch DVP IS-MND (Signed-OCR-flattened).PDF:Brandegee’s Clarkia (Clarkia biloba ssp. brandegeeae):
zips/2025071209/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0118 Koch DVP IS-MND (Signed-OCR-flattened).PDF:Scadden Flat Checkerbloom (Sidalcea stipularis):
zips/2025071209/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0118 Koch DVP IS-MND (Signed-OCR-flattened).PDF:Pine Hill Flannelbush (Fremontodendron decumbens):
zips/2025071209/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0118 Koch DVP IS-MND (Signed-OCR-flattened).PDF:Brownish Beaked-Rush (Rhynchospora capitellata):
zips/2025071209/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0118 Koch DVP IS-MND (Signed-OCR-flattened).PDF:Stebbins’ Morning Glory (Calystegia stebbinsii):
zips/2025071209/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0118 Koch DVP IS-MND (Signed-OCR-flattened).PDF:Chaparral Sedge (Carex xerophila):
zips/2025071209/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN24-0118 Koch DVP IS-MND (Signed-OCR-flattened).PDF:Finger Rush (Juncus digitatus):
