zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:lanceolata), turkey mullein (Croton setiger), curly dock (Rumex crispus), slender tarweed (Holocarpha virgata),
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Astragalus tener var. ferrisiae
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Carex comosa
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Centromadia parryi ssp. parryi
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Cuscuta obtusiflora var. glandulosa
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Downingia pusilla
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Gratiola heterosepala
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Juncus leiospermus var. ahartii
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Lasthenia chrysantha
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Lepidium latipes var. heckardii
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Orcuttia tenuis
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Orcuttia viscida
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Sagittaria sanfordii
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Symphyotrichum lentum
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Trifolium hydrophilum
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Sanford’s arrowhead (Sagittaria sanfordii) is not federally or state listed, but it is classified as a CRPR List
