zips/2025080301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/The Towers, LLC (UP25-0002) IS-MND.PDF:Delphinium recurvatum
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:project site: bristly sedge (Carex comosa), woolly rose-mallow (Hibiscus lasiocarpos var. occidentalis),
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Delta tule pea (Lathyrus jepsonii var. jepsonii), Mason’s lilaeopsis (Lilaeopsis masonii), Delta mudwort
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:(Limosella australis), side-flowering skullcap (Scutellaria lateriflora), and Suisun Marsh aster
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:(Symphyotrichum lentum). These species are discussed in more detail below. The remaining specialstatus plants identified in the query occur in vernal pools or other aquatic resources that do not occur in
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:shrimp (Lepidurus packardi), and large-flowered fiddleneck (Amsinckia grandiflora). The rationale for
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Large-flowered Fiddleneck Amsinckia grandiflora
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Astragalus tener var. tener
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Atriplex cordulata var. cordulata
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Blepharizonia plumosa
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Brasenia schreberi
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Carex comosa
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Chloropyron palmatum
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Cicuta maculata var. bolanderi
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Eryngium racemosum
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Extriplex joaquinana
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Lathyrus jepsonii var. jepsonii
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Limosella australis
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Potamogeton zosteriformis
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Sagittaria sanfordii
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Scutellaria galericulata
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Scutellaria lateriflora
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Symphyotrichum lentum
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Trifolium hydrophilum
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Tropidocarpum capparideum
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Large-flowered Fiddleneck Amsinckia grandiflora
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Amsinckia grandiflora
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Astragalus tener var.
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Atriplex cordulata var.
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Brasenia schreberi
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Carex comosa
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Chloropyron molle
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Cicuta maculata var.
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Eryngium racemosum
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Extriplex joaquinana
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Hibiscus lasiocarpos
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Lathyrus jepsonii var.
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Limosella australis
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Sagittaria sanfordii
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Scutellaria lateriflora
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Trifolium hydrophilum
zips/2025080303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - A General Biological Resources Assessment 7.PDF:(Calochortus plummerae)
zips/2025080303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - A General Biological Resources Assessment 7.PDF:(Chorizanthe xanti var.
zips/2025080303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - A General Biological Resources Assessment 7.PDF:(Horkelia cuneata var.
zips/2025080303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - A General Biological Resources Assessment 7.PDF:(Lilium parryi)
zips/2025080303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - A General Biological Resources Assessment 7.PDF:(Lycium parishii)
zips/2025080303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - A General Biological Resources Assessment 7.PDF:(Eriastrum densifolium ssp.
