zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Allium jepsonii
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Horkelia parryi
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Juncus digitatus
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Packera layneae
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Poa sierrae
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Sidalcea stipularis
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Viburnum ellipticum
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Allium jepsonii (Jepson’s Onion)
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Arctostaphylos nissenana (Nissenan manzanita)
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Balsamorhiza macrolepis (Big-scale balsamroot)
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Calystegia vanzuukiae (Van Zuuk’s morning glory)
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Chlorogalum grandiflorum (Red Hills soaproot)
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Fremontodendron decumbens (Pine Hill flannelbush)
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Horkelia parryi (Parry’s horkelia)
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Juncus digitatus (finger rush)
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Packera layneae (Layne’s ragwort)
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Rhynchospora capitellata (brownish beaked-rush)
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Sidalcea stipularis (Scadden Flat checkerbloom)
zips/2025040655/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/V9_draft_ISMND_NorthForkShaded_NEU_20250811.PDF:Viburnum ellipticum (Oval-leaved viburnum)
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Cirsium crassicaule), Delta button-celery (Eryngium racemosum), Wright's trichocoronis
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Trichocoronis wrightii var. wrightii), and caper-fruited tropidocarpum (Tropidocarpum
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Astragalus tener var.
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Atriplex cordulata var.
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Atriplex coronata var.
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Atriplex minuscula)
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Brasenia schreberi)
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Centromadia parryi ssp.
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Chloropyron palmatum)
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Cirsium crassicaule)
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Eryngium racemosum)
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Hibiscus lasiocarpos
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Lasthenia chrysantha)
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Lasthenia ferrisiae)
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Lathyrus jepsonii var.
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Puccinellia simplex)
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Sagittaria sanfordii)
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Trichocoronis wrightii
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Trifolium hydrophilum)
zips/2025080633/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B1_Biological Resources Analysis flattened.PDF:(Tuctoria greenei)
zips/2025080637/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04_AppC_Bio_SOP Tables_Rev.PDF:Berberis nevinii
zips/2025080637/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04_AppC_Bio_SOP Tables_Rev.PDF:Abronia maritima
zips/2025080637/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04_AppC_Bio_SOP Tables_Rev.PDF:Abronia villosa
zips/2025080637/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04_AppC_Bio_SOP Tables_Rev.PDF:Astragalus hornii
zips/2025080637/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04_AppC_Bio_SOP Tables_Rev.PDF:Atriplex coulteri
zips/2025080637/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04_AppC_Bio_SOP Tables_Rev.PDF:Atriplex pacifica
zips/2025080637/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04_AppC_Bio_SOP Tables_Rev.PDF:Atriplex parishii
zips/2025080637/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04_AppC_Bio_SOP Tables_Rev.PDF:Atriplex serenana
zips/2025080637/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04_AppC_Bio_SOP Tables_Rev.PDF:Calystegia felix
