zips/2023080591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Apx L_Biological Resources Assessment.PDF:Cuscuta obtusiflora var.
zips/2023080591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Apx L_Biological Resources Assessment.PDF:Dodecahema leptoceras
zips/2023080591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Apx L_Biological Resources Assessment.PDF:Helianthus nuttallii ssp. parishii
zips/2023080591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Apx L_Biological Resources Assessment.PDF:Horkelia cuneata var. puberula
zips/2023080591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Apx L_Biological Resources Assessment.PDF:Ribes divaricatum var. parishii
zips/2023080591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Apx L_Biological Resources Assessment.PDF:Scutellaria bolanderi ssp.
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:Nevin’s barberry (Berberis nevinii) is a federally and state listed Endangered species and is ranked 1B.1 in
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:Lucky morning-glory (Calystegia felix) is ranked 1B.1 in the CNPS rare plant inventory. It is often found in
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:Smooth tarplant (Centromadia pungens ssp. laevis) is ranked 1B.1 in the CNPS rare plant inventory. The
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:White rabbity-tobacco (Pseudognaphalium leucocephalum) is ranked 2B.2 in the CNPS rare plant
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:of the MSHCP for San Diego Ambrosia (Ambrosia pumila), San Miguel Savory, and Brand’s Phacelia
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:(Phacelia stellaris). The entire project site was evaluated for suitable habitat for these plant species. The
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:Ambrosia pumila
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:Phacelia stellaris
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:Abronia villosa
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:Allium munzii
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:Ambrosia pumila
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:Atriplex coulteri
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:Berberis nevinii
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:Calystegia felix
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:Horkelia cuneata
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:Lycium parishii
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:Phacelia keckii
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_2024 Update Letter (Complete 09-24).PDF:Phacelia stellaris
