zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Amsinckia lunaris
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Asclepias solanoana
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Brasenia schreberi
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Clarkia gracilis ssp.
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Collomia diversifolia
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Cordylanthus tenuis
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Eriogonum tripodum
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Eryngium constancei
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Harmonia hallii
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Hemizonia congesta
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Horkelia bolanderi
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Lasthenia burkei
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Lomatium hooveri
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Viburnum ellipticum
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Buckbrush ceanothus (Ceanothus cuneatus)
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:California mountain mahogany (Cercocarpus betuloides)
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Common woolly sunflower (Eriophyllum lanatum)
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Clarkia gracilis
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Fritillaria purdyi
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Harmonia hallii
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Buckbrush ceanothus (Ceanothus cuneatus)
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:California mountain mahogany (Cercocarpus betuloides)
zips/2025090228/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Biological assesments.PDF:Common woolly sunflower (Eriophyllum lanatum)
zips/2025090227/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Notice of Preparation_Draft PoVI_FinalDraft_BESS project_adaV7.PDF:as Big tarplant (Blepharizonia plumosa), California red-legged frog (Rana
