zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Coachella Valley milk-vetch (Astragalus lentiginosus var. coachellae)
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:U.S. Fish and Wildlife Service (USFWS). 2009. Astragalus lentiginosus var. coachellae (Coachella
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Abronia villosa var.
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Ambrosia monogyra
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Acmispon haydonii
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Astragalus hornii var.
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Atriplex parishii
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Ayenia compacta
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Caulanthus simulans
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Chorizanthe parryi
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Chorizanthe xanti
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Eriastrum harwoodii
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Euphorbia arizonica
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Euphorbia misera
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Imperata brevifolia
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Lilium parryi
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Linanthus jaegeri
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Linanthus maculatus
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Mentzelia tricuspis
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Saltugilia latimeri
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Stemodia durantifolia
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Xylorhiza cognata
zips/2025090716/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3 BIO.PDF:Abronia villosa
