zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:interior live oak (Quercus wislizenii), and scrub oak (Quercus dumosa), regardless of size.
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Cuscuta californica
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Phacelia ramosissima
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Berberis nevinii
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Calochortus clavatus var. clavatus
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Calochortus clavatus var. gracilis
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Calochortus fimbriatus
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Calochortus palmeri var. palmeri
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Calochortus plummerae
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Calystegia peirsonii
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Cercocarpus betuloides var.
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Chorizanthe parryi var. fernandina
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Chorizanthe parryi var. parryi
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Deinandra minthornii
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Deinandra paniculata
zips/2025100035/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wells W9 W10 GW Improvements Public Draft ISMND_SCH.PDF:Dodecahema leptoceras
