zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Bryum chryseum
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Plagiobryoides vinosula
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Sagittaria sanfordii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Balsamorhiza macrolepis
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Calycadenia oppositifolia
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Hesperevax caulescens
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Microseris sylvatica
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Azolla microphylla
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Paronychia ahartii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Bulbostylis capillaris
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Astragalus pauperculus
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Trifolium jokerstii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Juncus leiospermus var. ahartii Aharts dwarf rush
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Juncus leiospermus var.
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Wolffia brasiliensis
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Fritillaria eastwoodiae
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Fritillaria pluriflora
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Lilium humboldtii ssp.
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Limnanthes floccosa ssp.
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Limnanthes floccosa ssp.
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Hibiscus lasiocarpos var.
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Clarkia biloba ssp. brandegeeae Brandegees clarkia
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Clarkia mosquinii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Castilleja rubicundula var.
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Erythranthe glaucescens
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Tuctoria greenei
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Navarretia heterandra
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Gratiola heterosepala
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Orcuttia tenuis
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Navarretia leucocephala ssp.
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Polygonum bidwelliae
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Delphinium recurvatum
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Smilax jamesii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Brodiaea rosea ssp. vallicola
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Brodiaea sierrae
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:balsamroot (Balsamorhiza macrolepis), Butte County calycadenia (Calycadenia oppositifolia),
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:beakseed (Bulbostylis capillaris), depauperate milk-vetch (Astragalus pauperculus), and bristly
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:arrowhead (Sagittaria sanfordii), Mexican mosquito fern (Azolla microphylla), and woolly rosemallow (Hibiscus lasiocarpos var. occidentalis); however, the channel is flashy, frequently
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Balsamorhiza macrolepis
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Castilleja rubicundula var. rubicundula
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Clarkia biloba ssp. brandegeeae
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Clarkia mosquinii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Delphinium recurvatum
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Fritillaria eastwoodiae
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Fritillaria pluriflora
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Juncus leiospermus var. ahartii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Juncus leiospermus var. leiospermus
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Limnanthes floccosa ssp. californica
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Navarretia leucocephala ssp. bakeri
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Orcuttia tenuis
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Paronychia ahartii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Sagittaria sanfordii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Trifolium jokerstii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Tuctoria greenei
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Slender Orcutt Grass Orcuttia tenuis
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Bryum chryseum
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Plagiobryoides vinosula
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Sagittaria sanfordii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Balsamorhiza macrolepis
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Calycadenia oppositifolia
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Hesperevax caulescens
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Microseris sylvatica
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Azolla microphylla
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Paronychia ahartii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Bulbostylis capillaris
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Astragalus pauperculus
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Trifolium jokerstii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Juncus leiospermus var. ahartii Aharts dwarf rush
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Juncus leiospermus var.
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Wolffia brasiliensis
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Fritillaria eastwoodiae
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Fritillaria pluriflora
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Lilium humboldtii ssp.
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Limnanthes floccosa ssp.
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Limnanthes floccosa ssp.
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Hibiscus lasiocarpos var.
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Clarkia biloba ssp. brandegeeae Brandegees clarkia
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Clarkia mosquinii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Castilleja rubicundula var.
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Erythranthe glaucescens
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Tuctoria greenei
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Navarretia heterandra
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Navarretia leucocephala ssp.
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Gratiola heterosepala
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Orcuttia tenuis
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Polygonum bidwelliae
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Delphinium recurvatum
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Smilax jamesii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Brodiaea rosea ssp. vallicola
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Brodiaea sierrae
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Slender Orcutt Grass Orcuttia tenuis
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Balsamorhiza macrolepis
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Castilleja rubicundula var. rubicundula
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Clarkia biloba ssp. brandegeeae
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Clarkia mosquinii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Delphinium recurvatum
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Fritillaria eastwoodiae
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Fritillaria pluriflora
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Juncus leiospermus var. ahartii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Juncus leiospermus var. leiospermus
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Limnanthes floccosa ssp. californica
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Navarretia leucocephala ssp. bakeri
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Orcuttia tenuis
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Paronychia ahartii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Sagittaria sanfordii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Trifolium jokerstii
zips/2025100155/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BREI MND w appendices.PDF:Tuctoria greenei
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:cactus (Echinocereus engelmannii). In semi-natural sandy areas, there ae patches of regenerating
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:chaparral ragwort (Senecio aphanactis); southern grasshopper mouse (Onychomys torridus ramona);
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Parry's tetracoccus (Tetracoccus dioicus); Jacumba milk-vetch (Astragalus douglasii var. perstrictus);
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Tecate tarplant (Deinandra floribunda); coast horned lizard (Phrynosoma blainvillii); Mountain Springs
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:bush lupine (Lupinus albifrons var. medius); Mt. Laguna aster (Dieteria asteroides var. lagunensis);
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:slender-leaved ipomopsis (Ipomopsis tenuifolia); western spadefoot (Spea hammondii); quino
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:lotus (Acmispon haydonii); Jacumba milk-vetch (Astragalus douglasii var. perstrictus); delicate clarkia
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:(Clarkia delicata); Tecate tarplant (Deinandra floribunda); sticky geraea (Geraea viscida); Laguna
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Mountains alumroot (Heuchera brevistaminea); San Diego sunflower (Hulsea californica); Mexican
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:hulsea (Hulsea mexicana); slender-leaved ipomopsis (Ipomopsis tenuifolia); desert beauty (Linanthus
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:bellus); chaparral ragwort (Senecio aphanactis); and southern jewelflower (Streptanthus campestris). A
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Jacumba Mountains linanthus (Linanthus maculatus ssp. emaculatus) and narrow-leaf sandpaper-plant
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:(Petalonyx linearis). No special-status plants were determined to have a moderate or high potential to
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:maculatus ssp. emaculatus); narrow-leaf sandpaper-plant (Petalonyx linearis); coast horned lizard
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:thread-leaved bird’s beak (Cordylanthus rigidus), white snapdragon (Antirrhinum coulterianum), owl’s
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Echinocereus engelmannii
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:cactus (Echinocereus engelmannii). In semi-natural sandy areas, there ae patches of regenerating
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:chaparral ragwort (Senecio aphanactis)
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Parry's tetracoccus (Tetracoccus dioicus)
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Jacumba milk-vetch (Astragalus douglasii var. perstrictus)
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Tecate tarplant (Deinandra floribunda)
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Mountain Springs bush lupine (Lupinus albifrons var. medius)
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Mt. Laguna aster (Dieteria asteroides var. lagunensis)
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:slender-leaved ipomopsis (Ipomopsis tenuifolia)
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:lotus (Acmispon haydonii); Jacumba milk-vetch (Astragalus douglasii var. perstrictus); delicate clarkia
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:(Clarkia delicata); Tecate tarplant (Deinandra floribunda); sticky geraea (Geraea viscida); Laguna
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Mountains alumroot (Heuchera brevistaminea); San Diego sunflower (Hulsea californica); Mexican
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:hulsea (Hulsea mexicana); slender-leaved ipomopsis (Ipomopsis tenuifolia); desert beauty (Linanthus
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:bellus); chaparral ragwort (Senecio aphanactis); and southern jewelflower (Streptanthus campestris). A
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Jacumba Mountains linanthus (Linanthus maculatus ssp. emaculatus) and narrow-leaf sandpaper-plant
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:(Petalonyx linearis).
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:maculatus ssp. emaculatus); narrow-leaf sandpaper-plant (Petalonyx linearis); coast horned lizard
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:thread-leaved bird’s beak (Cordylanthus rigidus), white snapdragon (Antirrhinum coulterianum), owl’s
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Geraea viscida sticky geraea
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Juncus cooperi Cooper's rush Juncaceae
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Acmispon haydonii
zips/2025100159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study.PDF:Astragalus douglasii var.
