zips/2025100247/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Assessment.PDF:(Opuntia basilaris var.
zips/2025100247/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Assessment.PDF:(Eremothera boothii ssp.
zips/2025100247/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Assessment.PDF:(Canbya candida)
zips/2025100247/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Cultural Resources Study.PDF:(Eremothera boothii ssp.
zips/2025100247/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Cultural Resources Study.PDF:(Opuntia basilaris var.
zips/2025100247/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Cultural Resources Study.PDF:(Canbya candida)
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Allium munzii
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Almutaster pauciflorus
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Ambrosia pumila
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Arctostaphylos rainbowensis
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Astragalus pachypus var. jaegeri
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Atriplex coronata var. notatior
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Atriplex parishii
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Atriplex serenana var. davidsonii
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Ayenia compacta
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Brodiaea filifolia
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Abronia villosa var. aurita
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Allium marvinii
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Centromadia pungens ssp. laevis
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Chorizanthe parryi var. parryi
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Chorizanthe polygonoides var. longispina
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Clinopodium chandleri
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Cryptantha wigginsii
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Dodecahema leptoceras
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Dudleya multicaulis
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Eryngium aristulatum var. parishii
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Geothallus tuberosus
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Juncus luciensis
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Brodiaea santarosae
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Calochortus weedii var. intermedius
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Limnanthes alba ssp. parishii
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Monardella hypoleuca ssp. intermedia
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Nama stenocarpa
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Navarretia fossalis
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Navarretia prostrata
