zips/2025100945/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Marin Line_Supplemental IS-MND_Oct2025_OCR.PDF:local occurrences of rare plants. Additionally, western leatherwood [(Dirca occidentalis), CNPS
zips/2025100945/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Marin Line_Supplemental IS-MND_Oct2025_OCR.PDF:chaparral). Additionally, western leatherwood [(Dirca occidentalis), CNPS Rare Plant Rank
zips/2025100946/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pure Water AV Appendix B1_BRTR.PDF:Lasthenia californica
zips/2025100946/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pure Water AV Appendix B1_BRTR.PDF:Oenothera californica
zips/2025100946/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pure Water AV Appendix B1_BRTR.PDF:Astragalus hornii
zips/2025100946/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pure Water AV Appendix B1_BRTR.PDF:Astragalus preussii
zips/2025100946/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pure Water AV Appendix B1_BRTR.PDF:Calochortus clavatus
zips/2025100946/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pure Water AV Appendix B1_BRTR.PDF:Calochortus striatus
zips/2025100946/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pure Water AV Appendix B1_BRTR.PDF:Canbya candida
zips/2025100946/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pure Water AV Appendix B1_BRTR.PDF:Chorizanthe parryi
zips/2025100946/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pure Water AV Appendix B1_BRTR.PDF:Loeflingia squarrosa
zips/2025100946/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pure Water AV Appendix B1_BRTR.PDF:Opuntia basilaris
zips/2025100946/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pure Water AV Appendix B1_BRTR.PDF:Stylocline masonii
